symbol,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
BTCUSDT,Q2_lower,lower,5pct,0.0500000000,-1.8987744291,12,48,32,0.7660491794,-2.2120965007,-0.1084140580,0.5292502481,4.7754707045,-0.1284234713,-0.1084140580,0.5292502481,4.7754707045,-0.1284234713,53.1250000000
BTCUSDT,Q2_lower,lower,5pct,0.0500000000,-1.8987744291,18,72,32,0.7660491794,-2.2120965007,0.3602314632,2.0314087332,4.8753942181,0.4179717151,0.3602314632,2.0314087332,4.8753942181,0.4179717151,59.3750000000
BTCUSDT,Q3_mid,lower,5pct,0.0500000000,-1.8987744291,1,4,109,0.9669674384,-2.5209642451,-0.2103019242,-0.1066507994,1.4302569038,-1.5351203983,-0.2103019242,-0.1066507994,1.4302569038,-1.5351203983,46.7889908257
BTCUSDT,Q3_mid,lower,5pct,0.0500000000,-1.8987744291,2,8,109,0.9669674384,-2.5209642451,-0.3491392787,-0.1356935335,1.7949603124,-2.0307530248,-0.3491392787,-0.1356935335,1.7949603124,-2.0307530248,43.1192660550
BTCUSDT,Q3_mid,lower,5pct,0.0500000000,-1.8987744291,3,12,109,0.9669674384,-2.5209642451,-0.4391860092,-0.1254079065,2.2467783570,-2.0408050203,-0.4391860092,-0.1254079065,2.2467783570,-2.0408050203,45.8715596330
BTCUSDT,Q3_mid,lower,5pct,0.0500000000,-1.8987744291,6,24,109,0.9669674384,-2.5209642451,-0.3135363280,0.0560956190,2.6823283413,-1.2203634118,-0.3135363280,0.0560956190,2.6823283413,-1.2203634118,50.4587155963
BTCUSDT,Q3_mid,lower,5pct,0.0500000000,-1.8987744291,12,48,109,0.9669674384,-2.5209642451,-0.7064014576,0.0567180387,4.3792686798,-1.6840820410,-0.7064014576,0.0567180387,4.3792686798,-1.6840820410,51.3761467890
BTCUSDT,Q3_mid,lower,5pct,0.0500000000,-1.8987744291,18,72,109,0.9669674384,-2.5209642451,-0.7504547288,-0.2109200182,5.7545804989,-1.3615201650,-0.7504547288,-0.2109200182,5.7545804989,-1.3615201650,49.5412844037
BTCUSDT,Q4_higher,lower,5pct,0.0500000000,-1.8987744291,1,4,165,1.2745533586,-2.7347074803,-0.1185398377,0.1195607751,1.6978908811,-0.8968019103,-0.1185398377,0.1195607751,1.6978908811,-0.8968019103,53.3333333333
BTCUSDT,Q4_higher,lower,5pct,0.0500000000,-1.8987744291,2,8,165,1.2745533586,-2.7347074803,-0.0840160938,0.0804236468,2.4311520283,-0.4439073542,-0.0840160938,0.0804236468,2.4311520283,-0.4439073542,52.1212121212
BTCUSDT,Q4_higher,lower,5pct,0.0500000000,-1.8987744291,3,12,165,1.2745533586,-2.7347074803,-0.2703192619,-0.0949631981,3.0613129963,-1.1342563777,-0.2703192619,-0.0949631981,3.0613129963,-1.1342563777,49.6969696970
