fold,strategy,params,score,train_start,train_end,val_end,test_end,oos_total_return,oos_annual_return,oos_sharpe,oos_sortino,oos_calmar,oos_max_drawdown,oos_exposure,oos_final_equity,oos_trades,oos_win_rate,oos_profit_factor,oos_avg_win,oos_avg_loss,oos_avg_hold_bars,oos_avg_hold_hours,oos_long_trades,oos_short_trades
14,breakout,"{""lookback"": 160, ""vol_min"": 0, ""vol_max"": 3.5}",1.176383513204319,2013-11-26 20:00:00,2015-11-26 20:00:00,2016-05-26 20:00:00,2016-08-26 20:00:00,-0.05431049138773525,-0.1923853471106466,-1.32456610807811,-1.7979198182045146,-1.4621682554519266,-0.1315753822402499,1.0,0.9456895086122648,3,0.3333333333333333,0.28120760498965386,0.02096711153127573,-0.03728048452325311,136.33333333333334,545.3333333333334,1,2
15,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.7879094079722598,2014-02-26 20:00:00,2016-02-26 20:00:00,2016-08-26 20:00:00,2016-11-26 20:00:00,0.05568271018684556,0.23356725806329215,1.7336440868798662,2.5384755174698093,5.320718224277108,-0.043897693547758854,1.0,1.0556827101868456,4,0.5,3.2597627691895816,0.04082590156810417,-0.012524194077550621,101.0,404.0,2,2
16,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",1.2985089982638878,2014-05-26 20:00:00,2016-05-26 20:00:00,2016-11-26 20:00:00,2017-02-26 20:00:00,0.029503963042500914,0.1195393011129533,1.0696451096313953,1.807261026106638,3.455431906093075,-0.03459460477347731,1.0,1.029503963042501,3,0.6666666666666666,2.9604427536649434,0.02244042771618049,-0.015160183515387948,134.33333333333334,537.3333333333334,2,1
17,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",1.1733418878922472,2014-08-26 20:00:00,2016-08-26 20:00:00,2017-02-26 20:00:00,2017-05-26 20:00:00,0.02204697287236712,0.08860512165110368,1.0317045667640103,1.3174841542006612,2.1260395140311004,-0.04167614057327795,1.0,1.0220469728723671,6,0.6666666666666666,2.04192484081315,0.010925585765865165,-0.01070126142499378,67.0,268.0,3,3
18,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.7883509705947785,2014-11-26 20:00:00,2016-11-26 20:00:00,2017-05-26 20:00:00,2017-08-26 20:00:00,0.018098973058055634,0.07195512879048782,0.964661527533918,1.543388443295827,2.067379184924721,-0.03480499819055105,1.0,1.0180989730580556,4,0.75,2.1806346933221015,0.011268817082825752,-0.015503032833516284,101.0,404.0,2,2
19,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.8586635502103903,2015-02-26 20:00:00,2017-02-26 20:00:00,2017-08-26 20:00:00,2017-11-26 20:00:00,0.015449145215645332,0.061344078682548986,0.8488745798163349,1.3132751143310504,1.6452116679905575,-0.03728643546363486,1.0,1.0154491452156453,4,0.5,1.6546604790443267,0.020149295776118792,-0.012177299229239047,100.75,403.0,2,2
20,breakout,"{""lookback"": 40, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.7918343110750531,2015-05-26 20:00:00,2017-05-26 20:00:00,2017-11-26 20:00:00,2018-02-26 20:00:00,-0.006738539842482183,-0.02610693165142708,-0.2960465262853209,-0.4357665148281083,-0.8793602299818521,-0.02968855170078122,1.0,0.9932614601575178,5,0.4,0.80852896787491,0.013345868649155324,-0.011004238709577155,80.0,320.0,2,3
21,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.4447745427795072,2015-08-26 20:00:00,2017-08-26 20:00:00,2018-02-26 20:00:00,2018-05-26 20:00:00,0.014791690965950233,0.059590772733871145,0.8928276218540804,1.3175819347900546,1.750822729371514,-0.034035868814235815,1.0,1.0147916909659502,2,0.5,3.465553826452664,0.020969372171608436,-0.006050799734099832,198.5,794.0,1,1
22,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.9198688754630945,2015-11-26 20:00:00,2017-11-26 20:00:00,2018-05-26 20:00:00,2018-08-26 20:00:00,-0.006178806084092381,-0.023781705308929868,-0.37100141693182714,-0.5563684487096319,-0.6498443195309903,-0.03659600398768392,1.0,0.9938211939159076,2,0.5,0.40213851425954567,0.004127543489839791,-0.010263984531399095,201.5,806.0,1,1
23,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.17489936277275434,2016-02-26 20:00:00,2018-02-26 20:00:00,2018-08-26 20:00:00,2018-11-26 20:00:00,0.009441135568007741,0.03661038901495739,0.7127894524218212,1.005637842832856,1.4627421617982668,-0.025028600372022702,1.0,1.0094411355680077,2,0.5,2.6833334289092803,0.015186742801139852,-0.005659655500700467,204.5,818.0,1,1
24,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.024679552021187542,2016-05-26 20:00:00,2018-05-26 20:00:00,2018-11-26 20:00:00,2019-02-26 20:00:00,-0.004764718251045519,-0.018467264986656073,-0.23909078382884155,-0.3863865091470713,-0.5096222901265405,-0.03623716101992047,1.0,0.9952352817489545,2,0.5,0.7084784712029508,0.011152908492836344,-0.015742057022423595,200.5,802.0,1,1
25,breakout,"{""lookback"": 80, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.18948513513410636,2016-08-26 20:00:00,2018-08-26 20:00:00,2019-02-26 20:00:00,2019-05-26 20:00:00,0.001458237574843979,0.005849470032381898,0.14022023832450456,0.1967837387166121,0.19048773931207694,-0.030707855810072293,1.0,1.001458237574844,4,0.5,1.1099746137692126,0.008315558140095547,-0.007491665157870475,97.75,391.0,2,2
26,breakout,"{""lookback"": 80, ""vol_min"": 0.8, ""vol_max"": 3.5}",0.29545926366713504,2016-11-26 20:00:00,2018-11-26 20:00:00,2019-05-26 20:00:00,2019-08-26 20:00:00,-0.031016206974242455,-0.11357616376564161,-1.5752270161100457,-1.8805261655361796,-1.8970716386633293,-0.05986920127363615,1.0,0.9689837930257575,5,0.4,0.3022484352365371,0.006740958509565909,-0.014868471812579146,81.8,327.2,2,3
27,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.7300528228311903,2017-02-26 20:00:00,2019-02-26 20:00:00,2019-08-26 20:00:00,2019-11-26 20:00:00,0.004103269087145867,0.015792045429912305,0.33129857941349383,0.4265569658495541,0.7131215336651763,-0.022144956622957568,1.0,1.0041032690871459,2,0.5,1.3771459911356545,0.01563088362423315,-0.011350200868205151,204.5,818.0,1,1
28,breakout,"{""lookback"": 160, ""vol_min"": 0.8, ""vol_max"": 3.5}",-0.2758668262189579,2017-05-26 20:00:00,2019-05-26 20:00:00,2019-11-26 20:00:00,2020-02-26 20:00:00,-0.018400022857753662,-0.06991512970212677,-1.3828962716214868,-1.7389336845678218,-1.716953314033373,-0.04072046055689538,1.0,0.9815999771422463,3,0.3333333333333333,0.1455590231818159,0.003140441382671666,-0.010787518746773195,133.66666666666666,534.6666666666666,2,1
