,monthly_return,year,month
2017-01-31,0.01961158765752491,2017,1
2017-02-28,-0.016400213441560063,2017,2
2017-03-31,-0.0002096442099547291,2017,3
2017-04-30,-0.0060607252829382174,2017,4
2017-05-31,0.023906532363444866,2017,5
2017-06-30,0.008611872061728754,2017,6
2017-07-31,0.026084232254545592,2017,7
2017-08-31,-0.011617209853533761,2017,8
2017-09-30,-0.009774528024403706,2017,9
2017-10-31,-0.0024318122535957887,2017,10
2017-11-30,0.009985672241553445,2017,11
2017-12-31,6.217414088593998e-05,2017,12
2018-01-31,0.01878030452751389,2018,1
2018-02-28,-0.013989515529242658,2018,2
2018-03-31,0.003823534293353248,2018,3
2018-04-30,0.004424396521464535,2018,4
2018-05-31,-0.0048299982286210685,2018,5
2018-06-30,0.016316437776921155,2018,6
2018-07-31,0.01149591628150981,2018,7
2018-08-31,-0.022541526902042697,2018,8
2018-09-30,0.008605223727625289,2018,9
2018-10-31,-0.008251608140882993,2018,10
2018-11-30,0.007061974145669447,2018,11
2018-12-31,0.0036534218778665473,2018,12
2019-01-31,0.006752094280611631,2019,1
2019-02-28,-0.007575450888210322,2019,2
2019-03-31,-0.010805199337110993,2019,3
2019-04-30,-0.00922844098113551,2019,4
2019-05-31,0.0244300083016884,2019,5
2019-06-30,-0.0011968782133957578,2019,6
2019-07-31,-0.031192429062310234,2019,7
2019-08-31,-0.008140673112528196,2019,8
2019-09-30,-0.005497213093361264,2019,9
2019-10-31,-0.0005459980196006464,2019,10
2019-11-30,0.013925750664042669,2019,11
2019-12-31,-0.007113570574107109,2019,12
2020-01-31,-0.03161714838300933,2020,1
2020-02-29,-7.747698945537174e-05,2020,2
2020-03-31,-0.004181917961030734,2020,3
2020-04-30,0.0017743454588374785,2020,4
2020-05-31,-0.0042833156621808754,2020,5
2020-06-30,-0.04195753273818925,2020,6
2020-07-31,0.020627876052671912,2020,7
2020-08-31,-0.002537740475088923,2020,8
2020-09-30,0.00497631031428325,2020,9
2020-10-31,0.008730204613440984,2020,10
2020-11-30,0.0015017583180907401,2020,11
2020-12-31,0.011509380674900926,2020,12
2021-01-31,-0.011345108734025833,2021,1
2021-02-28,0.016807525635836207,2021,2
2021-03-31,0.04017655897821015,2021,3
2021-04-30,-0.032583304433935756,2021,4
2021-05-31,-0.008198037969201044,2021,5
2021-06-30,0.014959860447700146,2021,6
2021-07-31,-0.016990490467879482,2021,7
2021-08-31,-0.0037500767521935208,2021,8
2021-09-30,0.005048097492716286,2021,9
2021-10-31,0.024878210706692938,2021,10
2021-11-30,-0.008237188467457801,2021,11
2021-12-31,0.015348631950572234,2021,12
2022-01-31,0.0006954163370671562,2022,1
2022-02-28,-0.0003299049506398921,2022,2
2022-03-31,0.05784369949429258,2022,3
2022-04-30,0.06554791651265335,2022,4
2022-05-31,-0.041191671759239434,2022,5
2022-06-30,0.00990574954469392,2022,6
2022-07-31,-0.020959066659047454,2022,7
2022-08-31,-0.027968929527955155,2022,8
2022-09-30,0.03791717505203307,2022,9
2022-10-31,0.02848983148126294,2022,10
2022-11-30,-0.020160921694762246,2022,11
2022-12-31,0.04677630876419281,2022,12
2023-01-31,-0.07223288461514199,2023,1
2023-02-28,0.016442175701597117,2023,2
2023-03-31,-0.0708306171212526,2023,3
2023-04-30,-0.013488561362225426,2023,4
2023-05-31,0.01998512486270032,2023,5
2023-06-30,0.03654723829374351,2023,6
2023-07-31,-0.01806342095829483,2023,7
2023-08-31,0.009914614324001203,2023,8
2023-09-30,-0.0014462167080699917,2023,9
2023-10-31,-0.02119140916228579,2023,10
2023-11-30,-0.0023430644322244287,2023,11
2023-12-31,0.04961435072587683,2023,12
2024-01-31,-0.01644420933476798,2024,1
2024-02-29,0.02081573146201099,2024,2
2024-03-31,-0.018833214297063305,2024,3
2024-04-30,0.041915178895779004,2024,4
2024-05-31,-0.003981110205917404,2024,5
2024-06-30,0.024171991548077365,2024,6
2024-07-31,0.04205230780377067,2024,7
2024-08-31,0.024031453112457468,2024,8
2024-09-30,0.00011226507145045694,2024,9
2024-10-31,0.057510054691959134,2024,10
2024-11-30,0.01590900629130987,2024,11
2024-12-31,-0.007246970913675321,2024,12
2025-01-31,-0.0028336168492290037,2025,1
2025-02-28,0.026562070250579328,2025,2
2025-03-31,-0.006655168911991138,2025,3
2025-04-30,0.01780444522092961,2025,4
2025-05-31,-0.05320939782976042,2025,5
2025-06-30,0.003547258158676403,2025,6
2025-07-31,-0.012908258863778777,2025,7
2025-08-31,-0.06936419155877271,2025,8
2025-09-30,0.006137804936072966,2025,9
2025-10-31,0.039959736258984524,2025,10
2025-11-30,0.012751869155843254,2025,11
2025-12-31,0.0038099636321655694,2025,12
2026-01-31,-0.007205982865846061,2026,1
2026-02-28,-0.007521540772471358,2026,2
2026-03-31,-0.006091739108219363,2026,3
2026-04-30,-0.017859824854974282,2026,4
2026-05-31,-0.014921295766370246,2026,5
