symbol,shock_side,shock_level,threshold_pct,horizon_bars,horizon_hours,signal_timestamp,exit_timestamp,signal_return_pct,oi_timestamp,open_interest_contracts,open_interest_value_usdt,oi_value_change_4h_pct,oi_value_change_24h_pct,oi_regime,future_return_pct,mr_return_pct
ETHUSDT,lower,5pct,-2.5346979200,12,48,2026-05-17 20:00,2026-05-19 20:00,-2.8590224779,2026-05-17 20:00,2293645.1710000001,5026380403.9064664841,0.2373066158,-0.0311080838,price_down_oi_down,-0.9092578640,-0.9092578640
ETHUSDT,lower,5pct,-2.5346979200,12,48,2026-05-22 16:00,2026-05-24 16:00,-2.6832300170,2026-05-22 16:00,2239850.4730000002,4745145625.5552301407,-0.0195956515,-0.3803318884,price_down_oi_down,1.7945752847,1.7945752847
ETHUSDT,lower,5pct,-2.5346979200,18,72,2026-05-13 12:00,2026-05-16 12:00,-2.9419332864,2026-05-13 12:00,2143984.4070000001,4932828988.2745647430,-2.3830849708,-1.5742011779,price_down_oi_down,-2.4892211871,-2.4892211871
ETHUSDT,lower,5pct,-2.5346979200,18,72,2026-05-17 20:00,2026-05-20 20:00,-2.8590224779,2026-05-17 20:00,2293645.1710000001,5026380403.9064664841,0.2373066158,-0.0311080838,price_down_oi_down,-0.0891926715,-0.0891926715
ETHUSDT,lower,5pct,-2.5346979200,18,72,2026-05-22 16:00,2026-05-25 16:00,-2.6832300170,2026-05-22 16:00,2239850.4730000002,4745145625.5552301407,-0.0195956515,-0.3803318884,price_down_oi_down,2.7143506427,2.7143506427
ETHUSDT,upper,5pct,2.5346196347,1,4,2026-05-04 00:00,2026-05-04 04:00,2.6499437305,2026-05-04 00:00,2078940.2050000001,4826613105.7423505783,-0.1237899600,5.6585188819,price_up_oi_up,-0.6565647225,0.6565647225
ETHUSDT,upper,5pct,2.5346196347,2,8,2026-05-04 00:00,2026-05-04 08:00,2.6499437305,2026-05-04 00:00,2078940.2050000001,4826613105.7423505783,-0.1237899600,5.6585188819,price_up_oi_up,-2.0242577498,2.0242577498
ETHUSDT,upper,5pct,2.5346196347,3,12,2026-05-04 00:00,2026-05-04 12:00,2.6499437305,2026-05-04 00:00,2078940.2050000001,4826613105.7423505783,-0.1237899600,5.6585188819,price_up_oi_up,-1.4730618150,1.4730618150
ETHUSDT,upper,5pct,2.5346196347,6,24,2026-05-04 00:00,2026-05-05 00:00,2.6499437305,2026-05-04 00:00,2078940.2050000001,4826613105.7423505783,-0.1237899600,5.6585188819,price_up_oi_up,-0.1044421563,0.1044421563
ETHUSDT,upper,5pct,2.5346196347,12,48,2026-05-04 00:00,2026-05-06 00:00,2.6499437305,2026-05-04 00:00,2078940.2050000001,4826613105.7423505783,-0.1237899600,5.6585188819,price_up_oi_up,-0.4348444880,0.4348444880
ETHUSDT,upper,5pct,2.5346196347,18,72,2026-05-04 00:00,2026-05-07 00:00,2.6499437305,2026-05-04 00:00,2078940.2050000001,4826613105.7423505783,-0.1237899600,5.6585188819,price_up_oi_up,-2.6163715177,2.6163715177
SOLUSDT,lower,5pct,-3.7212992607,1,4,2026-05-13 12:00,2026-05-13 16:00,-4.2259809290,2026-05-13 12:00,11570912.9800000004,1090847845.8355445862,-1.3273221557,-1.3031582955,price_down_oi_down,0.7168489479,0.7168489479
SOLUSDT,lower,5pct,-3.7212992607,2,8,2026-05-13 12:00,2026-05-13 20:00,-4.2259809290,2026-05-13 12:00,11570912.9800000004,1090847845.8355445862,-1.3273221557,-1.3031582955,price_down_oi_down,0.8925187339,0.8925187339
SOLUSDT,lower,5pct,-3.7212992607,3,12,2026-05-13 12:00,2026-05-14 00:00,-4.2259809290,2026-05-13 12:00,11570912.9800000004,1090847845.8355445862,-1.3273221557,-1.3031582955,price_down_oi_down,-0.3881346708,-0.3881346708
SOLUSDT,lower,5pct,-3.7212992607,6,24,2026-05-13 12:00,2026-05-14 12:00,-4.2259809290,2026-05-13 12:00,11570912.9800000004,1090847845.8355445862,-1.3273221557,-1.3031582955,price_down_oi_down,3.1056704653,3.1056704653
SOLUSDT,lower,5pct,-3.7212992607,12,48,2026-05-13 12:00,2026-05-15 12:00,-4.2259809290,2026-05-13 12:00,11570912.9800000004,1090847845.8355445862,-1.3273221557,-1.3031582955,price_down_oi_down,-1.3707240859,-1.3707240859
SOLUSDT,lower,5pct,-3.7212992607,18,72,2026-05-13 12:00,2026-05-16 12:00,-4.2259809290,2026-05-13 12:00,11570912.9800000004,1090847845.8355445862,-1.3273221557,-1.3031582955,price_down_oi_down,-4.1814000877,-4.1814000877
