variant,variant_label,timeframe,period,start,end_exclusive,short_window,long_window,cost_pips,trade_count,total_pnl_pips,win_rate_pct,profit_factor,max_drawdown_pips,avg_win_pips,avg_loss_pips,avg_win_loss_ratio,avg_trade_pips,median_trade_pips,max_win_pips,max_loss_pips,pnl_skew,avg_holding_bars,top_1pct_win_contribution_pct,top_5pct_win_contribution_pct,top_10pct_win_contribution_pct
long_only,Long only,240m,dev_2023_2024,2023-01-01,2025-01-01,20,80,1.0,21,2603.8000000000047,61.904761904761905,3.276247923769568,451.7999999999993,288.28461538461556,-142.98749999999976,2.01615256847358,123.99047619047641,36.5,982.0000000000013,-252.30000000000052,1.3810874123117827,102.0,26.202737679109866,26.202737679109866,46.86607786108811
long_only,Long only,240m,oos_2025,2025-01-01,2026-01-01,20,80,1.0,15,-424.4999999999999,40.0,0.5082821730568753,504.9999999999999,73.13333333333345,-95.92222222222229,0.7624232595853129,-28.299999999999994,-72.89999999999941,288.0999999999991,-156.09999999999877,1.6481560140034173,55.666666666666664,65.65633546034609,65.65633546034609,65.65633546034609
short_filter_ma80_slope,Short only if MA80 is falling,60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,268,-657.7000000000205,36.940298507462686,0.947363787694473,2447.200000000006,119.57070707070702,-73.9360946745563,1.6172169709127875,-2.4541044776120167,-30.90000000000066,577.2000000000011,-258.49999999999886,1.4371256668030998,63.05223880597015,4.876029567053865,19.814149947201717,32.06335797254491
short_filter_ma80_slope,Short only if MA80 is falling,60m,dev_2023_2024,2023-01-01,2025-01-01,20,80,1.0,178,-332.9000000000021,33.146067415730336,0.9623305497091904,1994.1000000000024,144.1440677966103,-74.26386554621855,1.9409717867015877,-1.8702247191011352,-33.450000000000045,577.2000000000011,-258.49999999999886,1.4930582436552433,63.08988764044944,6.786995120230473,18.082191780821923,30.11111764360046
short_filter_ma80_slope,Short only if MA80 is falling,60m,oos_2025,2025-01-01,2026-01-01,20,80,1.0,91,-345.10000000001673,43.956043956043956,0.9061743835132223,1463.800000000007,83.32499999999968,-72.11960784313735,1.1553723389793584,-3.792307692307876,-18.199999999999704,436.70000000000095,-239.70000000000005,1.0766567282307866,62.27472527472528,13.102310231023178,21.47314731473153,33.747374737473905
short_filter_ma80_slope,Short only if MA80 is falling,240m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,61,2536.6000000000176,42.62295081967213,1.6147991953270853,1643.699999999999,256.2500000000004,-117.88285714285695,2.1737681475556916,41.58360655737734,-57.90000000000168,1005.9000000000017,-252.30000000000052,2.026747254393879,72.73770491803279,15.097936210131335,29.837148217636024,41.4604127579737
short_filter_ma80_slope,Short only if MA80 is falling,240m,dev_2023_2024,2023-01-01,2025-01-01,20,80,1.0,34,3399.100000000016,52.94117647058824,2.6042571266754884,547.0999999999964,306.55000000000047,-132.4249999999996,2.314895223711545,99.97352941176517,7.300000000001262,1005.9000000000017,-252.30000000000052,1.5928844570991845,87.6470588235294,18.229761322242158,18.229761322242158,36.02638685006977
short_filter_ma80_slope,Short only if MA80 is falling,240m,oos_2025,2025-01-01,2026-01-01,20,80,1.0,28,-847.8000000000008,28.57142857142857,0.5951676057683125,1643.6999999999994,155.80000000000013,-104.71000000000008,1.4879190144207812,-30.278571428571457,-68.00000000000017,627.3999999999992,-232.29999999999882,2.339628989284838,52.0,50.33697047496779,50.33697047496779,50.33697047496779
short_filter_ma200_down,Short only if close < falling MA200,60m,full_2023_2025,2023-01-01,2026-01-01,20,80,1.0,261,862.9999999999782,35.63218390804598,1.0791118933685326,1276.1999999999987,126.5763440860215,-64.932142857143,1.9493634202786392,3.3065134099616023,-18.199999999999704,521.1000000000004,-262.59999999999854,1.3767586577287056,56.64750957854406,4.426755921030279,19.32957287029803,32.303170342179534
short_filter_ma200_down,Short only if close < falling MA200,60m,dev_2023_2024,2023-01-01,2025-01-01,20,80,1.0,166,1375.1999999999919,33.734939759036145,1.1863086448186622,1025.7999999999975,156.3660714285715,-67.10272727272736,2.330249123750944,8.284337349397541,-27.200000000000045,521.1000000000004,-258.49999999999886,1.390505597269057,60.596385542168676,5.9510078227602365,16.908582196082918,28.853994175755197
