timeframe,period,entry_time,exit_time,direction,entry_price,exit_price,gross_pnl_pips,cost_pips,net_pnl_pips,holding_bars,short_window,long_window,entry_delay_bars,exit_reason
60m,full_2023_2025,2023-04-24 18:00:00,2023-04-25 13:00:00,long,134.348,133.927,-42.10000000000207,1.0,-43.10000000000207,19,20,80,0,signal_flip
60m,full_2023_2025,2023-04-25 13:00:00,2023-04-27 23:00:00,short,133.927,133.913,1.3999999999981583,1.0,0.3999999999981583,58,20,80,0,signal_flip
60m,full_2023_2025,2023-04-27 23:00:00,2023-05-03 07:00:00,long,133.913,135.87,195.69999999999936,1.0,194.69999999999936,80,20,80,0,signal_flip
60m,full_2023_2025,2023-05-03 07:00:00,2023-05-08 07:00:00,short,135.87,134.777,109.30000000000177,1.0,108.30000000000177,72,20,80,0,signal_flip
60m,full_2023_2025,2023-05-08 07:00:00,2023-05-10 19:00:00,long,134.777,134.255,-52.199999999999136,1.0,-53.199999999999136,60,20,80,0,signal_flip
60m,full_2023_2025,2023-05-10 19:00:00,2023-05-12 16:00:00,short,134.255,135.628,-137.29999999999905,1.0,-138.29999999999905,45,20,80,0,signal_flip
60m,full_2023_2025,2023-05-12 16:00:00,2023-05-22 11:00:00,long,135.628,137.969,234.10000000000082,1.0,233.10000000000082,139,20,80,0,signal_flip
60m,full_2023_2025,2023-05-22 11:00:00,2023-05-22 16:00:00,short,137.969,138.657,-68.80000000000166,1.0,-69.80000000000166,5,20,80,0,signal_flip
60m,full_2023_2025,2023-05-22 16:00:00,2023-05-30 17:00:00,long,138.657,139.919,126.20000000000005,1.0,125.20000000000005,145,20,80,0,signal_flip
60m,full_2023_2025,2023-05-30 17:00:00,2023-06-05 00:00:00,short,139.919,140.213,-29.399999999998272,1.0,-30.399999999998272,79,20,80,0,signal_flip
60m,full_2023_2025,2023-06-05 00:00:00,2023-06-07 03:00:00,long,140.213,139.189,-102.40000000000009,1.0,-103.40000000000009,51,20,80,0,signal_flip
60m,full_2023_2025,2023-06-07 03:00:00,2023-06-08 02:00:00,short,139.189,139.916,-72.70000000000039,1.0,-73.70000000000039,23,20,80,0,signal_flip
60m,full_2023_2025,2023-06-08 02:00:00,2023-06-08 18:00:00,long,139.916,138.937,-97.8999999999985,1.0,-98.8999999999985,16,20,80,0,signal_flip
60m,full_2023_2025,2023-06-08 18:00:00,2023-06-12 21:00:00,short,138.937,139.589,-65.19999999999868,1.0,-66.19999999999868,51,20,80,0,signal_flip
