timeframe,period,entry_time,exit_time,direction,entry_price,exit_price,gross_pnl_pips,cost_pips,net_pnl_pips,holding_bars,short_window,long_window,entry_delay_bars,exit_reason
240m,full_2023_2025,2025-05-20 08:00:00,2025-06-01 20:00:00,short,144.127,143.795,33.200000000002206,1.0,32.200000000002206,53,20,80,0,signal_flip
240m,full_2023_2025,2025-06-01 20:00:00,2025-06-02 12:00:00,long,143.795,142.755,-103.9999999999992,1.0,-104.9999999999992,4,20,80,0,signal_flip
240m,full_2023_2025,2025-06-02 12:00:00,2025-06-06 16:00:00,short,142.755,144.878,-212.29999999999905,1.0,-213.29999999999905,25,20,80,0,signal_flip
240m,full_2023_2025,2025-06-06 16:00:00,2025-06-16 16:00:00,long,144.878,144.132,-74.59999999999809,1.0,-75.59999999999809,38,20,80,0,signal_flip
240m,full_2023_2025,2025-06-16 16:00:00,2025-06-17 00:00:00,short,144.132,144.682,-54.999999999998295,1.0,-55.999999999998295,2,20,80,0,signal_flip
240m,full_2023_2025,2025-06-17 00:00:00,2025-06-27 08:00:00,long,144.682,144.48,-20.199999999999818,1.0,-21.199999999999818,51,20,80,0,signal_flip
240m,full_2023_2025,2025-06-27 08:00:00,2025-07-08 08:00:00,short,144.48,146.039,-155.89999999999975,1.0,-156.89999999999975,44,20,80,0,signal_flip
240m,full_2023_2025,2025-07-08 08:00:00,2025-07-24 00:00:00,long,146.039,146.35,31.100000000000705,1.0,30.100000000000705,72,20,80,0,signal_flip
240m,full_2023_2025,2025-07-24 00:00:00,2025-07-29 12:00:00,short,146.35,148.717,-236.70000000000186,1.0,-237.70000000000186,22,20,80,0,signal_flip
240m,full_2023_2025,2025-07-29 12:00:00,2025-08-06 04:00:00,long,148.717,147.4,-131.70000000000073,1.0,-132.70000000000073,35,20,80,0,signal_flip
240m,full_2023_2025,2025-08-06 04:00:00,2025-08-20 08:00:00,short,147.4,147.627,-22.700000000000387,1.0,-23.700000000000387,63,20,80,0,signal_flip
240m,full_2023_2025,2025-08-20 08:00:00,2025-08-27 08:00:00,long,147.627,147.758,13.100000000000023,1.0,12.100000000000023,31,20,80,0,signal_flip
240m,full_2023_2025,2025-08-27 08:00:00,2025-09-03 08:00:00,short,147.758,148.735,-97.70000000000039,1.0,-98.70000000000039,31,20,80,0,signal_flip
240m,full_2023_2025,2025-09-03 08:00:00,2025-09-10 00:00:00,long,148.735,147.391,-134.40000000000225,1.0,-135.40000000000225,29,20,80,0,signal_flip
240m,full_2023_2025,2025-09-10 00:00:00,2025-09-22 12:00:00,short,147.391,147.842,-45.10000000000218,1.0,-46.10000000000218,53,20,80,0,signal_flip
240m,full_2023_2025,2025-09-22 12:00:00,2025-10-02 08:00:00,long,147.842,147.079,-76.30000000000052,1.0,-77.30000000000052,48,20,80,0,signal_flip
240m,full_2023_2025,2025-10-02 08:00:00,2025-10-07 04:00:00,short,147.079,150.361,-328.1999999999982,1.0,-329.1999999999982,18,20,80,0,signal_flip
240m,full_2023_2025,2025-10-07 04:00:00,2025-10-20 12:00:00,long,150.361,150.702,34.10000000000082,1.0,33.10000000000082,58,20,80,0,signal_flip
240m,full_2023_2025,2025-10-20 12:00:00,2025-10-23 12:00:00,short,150.702,152.669,-196.7000000000013,1.0,-197.7000000000013,18,20,80,0,signal_flip
240m,full_2023_2025,2025-10-23 12:00:00,2025-12-02 00:00:00,long,152.669,155.56,289.0999999999991,1.0,288.0999999999991,171,20,80,0,signal_flip
240m,full_2023_2025,2025-12-02 00:00:00,2025-12-10 12:00:00,short,155.56,156.708,-114.79999999999961,1.0,-115.79999999999961,40,20,80,0,signal_flip
240m,full_2023_2025,2025-12-10 12:00:00,2025-12-15 16:00:00,long,156.708,155.157,-155.09999999999877,1.0,-156.09999999999877,20,20,80,0,signal_flip
240m,full_2023_2025,2025-12-15 16:00:00,2025-12-19 16:00:00,short,155.157,157.47,-231.29999999999882,1.0,-232.29999999999882,24,20,80,0,signal_flip
240m,full_2023_2025,2025-12-19 16:00:00,2025-12-31 20:00:00,long,157.47,156.751,-71.89999999999941,1.0,-72.89999999999941,48,20,80,0,period_end
