pair,vol_regime,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,vol20_mean_pct,current_return_mean_pct,future_return_mean_pct,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
USDJPY,Q3_mid,lower,2_5pct,0.0250000000,-0.5078186023,6,24,20,0.2117386525,-0.5930653053,-0.1762803323,-0.1762803323,-0.0471134796,0.6834688396,-1.1534536275,45.0000000000
USDJPY,Q3_mid,lower,2_5pct,0.0250000000,-0.5078186023,12,48,20,0.2117386525,-0.5930653053,-0.2290792264,-0.2290792264,-0.0316025902,0.9264113181,-1.1058516071,50.0000000000
USDJPY,Q4_higher,lower,2_5pct,0.0250000000,-0.5078186023,1,4,42,0.2657295348,-0.6814080463,0.0107700055,0.0107700055,0.0444579675,0.2783147124,0.2507866444,61.9047619048
USDJPY,Q4_higher,lower,2_5pct,0.0250000000,-0.5078186023,3,12,42,0.2657295348,-0.6814080463,-0.0394355255,-0.0394355255,0.0164639314,0.5128784631,-0.4983079484,57.1428571429
USDJPY,Q4_higher,lower,2_5pct,0.0250000000,-0.5078186023,6,24,42,0.2657295348,-0.6814080463,-0.1497285475,-0.1497285475,-0.0688242449,0.6937745007,-1.3986560334,40.4761904762
USDJPY,Q4_higher,lower,2_5pct,0.0250000000,-0.5078186023,12,48,42,0.2657295348,-0.6814080463,-0.0354655550,-0.0354655550,0.1213264286,1.0470318881,-0.2195186871,54.7619047619
USDJPY,Q5_high,lower,2_5pct,0.0250000000,-0.5078186023,1,4,100,0.4675403852,-0.9842750208,-0.0439341254,-0.0439341254,-0.0077044702,0.3812509845,-1.1523675270,48.0000000000
USDJPY,Q5_high,lower,2_5pct,0.0250000000,-0.5078186023,3,12,100,0.4675403852,-0.9842750208,-0.0866605017,-0.0866605017,-0.0733386645,0.7467971769,-1.1604288866,46.0000000000
USDJPY,Q5_high,lower,2_5pct,0.0250000000,-0.5078186023,6,24,100,0.4675403852,-0.9842750208,-0.0553191881,-0.0553191881,0.0423198867,0.9829590663,-0.5627822154,52.0000000000
USDJPY,Q5_high,lower,2_5pct,0.0250000000,-0.5078186023,12,48,100,0.4675403852,-0.9842750208,0.0257564798,0.0257564798,-0.0872592158,1.1258976474,0.2287639544,44.0000000000
USDJPY,Q1_low,upper,1pct,0.0100000000,0.6564952249,1,4,0,,,,,,,,
USDJPY,Q1_low,upper,1pct,0.0100000000,0.6564952249,3,12,0,,,,,,,,
USDJPY,Q1_low,upper,1pct,0.0100000000,0.6564952249,6,24,0,,,,,,,,
USDJPY,Q1_low,upper,1pct,0.0100000000,0.6564952249,12,48,0,,,,,,,,
USDJPY,Q2_lower,upper,1pct,0.0100000000,0.6564952249,1,4,3,0.1696376794,0.6991301807,-1.1306936068,1.1306936068,-0.0379256009,2.0534891427,0.9537030093,33.3333333333
USDJPY,Q2_lower,upper,1pct,0.0100000000,0.6564952249,3,12,3,0.1696376794,0.6991301807,-0.9749494817,0.9749494817,0.3127642308,1.4527893566,1.1623584860,66.6666666667
USDJPY,Q2_lower,upper,1pct,0.0100000000,0.6564952249,6,24,3,0.1696376794,0.6991301807,-0.4464967209,0.4464967209,0.0268195092,0.9212015530,0.8395068413,66.6666666667
USDJPY,Q2_lower,upper,1pct,0.0100000000,0.6564952249,12,48,3,0.1696376794,0.6991301807,-0.5455601058,0.5455601058,0.0536462132,1.0271528942,0.9199582917,66.6666666667
USDJPY,Q3_mid,upper,1pct,0.0100000000,0.6564952249,1,4,4,0.2118880269,0.7409397874,-0.4904970250,0.4904970250,-0.1054478810,1.3002695811,0.7544543564,25.0000000000
USDJPY,Q3_mid,upper,1pct,0.0100000000,0.6564952249,3,12,4,0.2118880269,0.7409397874,-0.2081976054,0.2081976054,0.0142092938,1.0805268405,0.3853631351,50.0000000000
USDJPY,Q3_mid,upper,1pct,0.0100000000,0.6564952249,6,24,4,0.2118880269,0.7409397874,-0.0278947875,0.0278947875,0.0419482424,1.3647411555,0.0408792354,50.0000000000
USDJPY,Q3_mid,upper,1pct,0.0100000000,0.6564952249,12,48,4,0.2118880269,0.7409397874,0.1466160645,-0.1466160645,0.0415359735,1.0901465927,-0.2689841264,50.0000000000
USDJPY,Q4_higher,upper,1pct,0.0100000000,0.6564952249,1,4,17,0.2759058583,0.7500010090,0.0894277568,-0.0894277568,-0.0582127353,0.3097779114,-1.1902723653,35.2941176471
USDJPY,Q4_higher,upper,1pct,0.0100000000,0.6564952249,3,12,17,0.2759058583,0.7500010090,0.0739098842,-0.0739098842,0.0742666206,0.5385362265,-0.5658639928,52.9411764706
USDJPY,Q4_higher,upper,1pct,0.0100000000,0.6564952249,6,24,17,0.2759058583,0.7500010090,-0.1085412876,0.1085412876,0.0875129549,0.6710188540,0.6669368392,52.9411764706
USDJPY,Q4_higher,upper,1pct,0.0100000000,0.6564952249,12,48,17,0.2759058583,0.7500010090,-0.0761037837,0.0761037837,0.0622673838,0.9187661675,0.3415275288,58.8235294118
USDJPY,Q5_high,upper,1pct,0.0100000000,0.6564952249,1,4,45,0.4828752939,1.0904688731,0.0078745634,-0.0078745634,-0.0104465918,0.3074607317,-0.1718078817,40.0000000000
USDJPY,Q5_high,upper,1pct,0.0100000000,0.6564952249,3,12,45,0.4828752939,1.0904688731,-0.0082111631,0.0082111631,-0.0658845699,0.5373171972,0.1025132956,40.0000000000
USDJPY,Q5_high,upper,1pct,0.0100000000,0.6564952249,6,24,45,0.4828752939,1.0904688731,-0.0404814968,0.0404814968,-0.0057082047,0.7822348670,0.3471567778,48.8888888889
USDJPY,Q5_high,upper,1pct,0.0100000000,0.6564952249,12,48,45,0.4828752939,1.0904688731,-0.0320933017,0.0320933017,-0.1002087767,1.0583329394,0.2034221980,46.6666666667
USDJPY,Q1_low,lower,1pct,0.0100000000,-0.7316494116,1,4,0,,,,,,,,
USDJPY,Q1_low,lower,1pct,0.0100000000,-0.7316494116,3,12,0,,,,,,,,
USDJPY,Q1_low,lower,1pct,0.0100000000,-0.7316494116,6,24,0,,,,,,,,
USDJPY,Q1_low,lower,1pct,0.0100000000,-0.7316494116,12,48,0,,,,,,,,
USDJPY,Q2_lower,lower,1pct,0.0100000000,-0.7316494116,1,4,0,,,,,,,,
USDJPY,Q2_lower,lower,1pct,0.0100000000,-0.7316494116,3,12,0,,,,,,,,
USDJPY,Q2_lower,lower,1pct,0.0100000000,-0.7316494116,6,24,0,,,,,,,,
USDJPY,Q2_lower,lower,1pct,0.0100000000,-0.7316494116,12,48,0,,,,,,,,
USDJPY,Q3_mid,lower,1pct,0.0100000000,-0.7316494116,1,4,1,0.2220469460,-0.7682164215,-0.1350124423,-0.1350124423,-0.1350124423,,,0.0000000000
USDJPY,Q3_mid,lower,1pct,0.0100000000,-0.7316494116,3,12,1,0.2220469460,-0.7682164215,0.1019950734,0.1019950734,0.1019950734,,,100.0000000000
USDJPY,Q3_mid,lower,1pct,0.0100000000,-0.7316494116,6,24,1,0.2220469460,-0.7682164215,-0.0458974850,-0.0458974850,-0.0458974850,,,0.0000000000
USDJPY,Q3_mid,lower,1pct,0.0100000000,-0.7316494116,12,48,1,0.2220469460,-0.7682164215,-0.2228340603,-0.2228340603,-0.2228340603,,,0.0000000000
USDJPY,Q4_higher,lower,1pct,0.0100000000,-0.7316494116,1,4,13,0.2681247060,-0.8399075849,0.0139835355,0.0139835355,0.1346764721,0.3567222012,0.1413378652,53.8461538462
USDJPY,Q4_higher,lower,1pct,0.0100000000,-0.7316494116,3,12,13,0.2681247060,-0.8399075849,-0.0759433076,-0.0759433076,-0.1707965315,0.7173177842,-0.3817241054,46.1538461538
USDJPY,Q4_higher,lower,1pct,0.0100000000,-0.7316494116,6,24,13,0.2681247060,-0.8399075849,-0.1777781436,-0.1777781436,-0.0311696410,0.7587950573,-0.8447448443,38.4615384615
USDJPY,Q4_higher,lower,1pct,0.0100000000,-0.7316494116,12,48,13,0.2681247060,-0.8399075849,0.2747279065,0.2747279065,0.1577648613,0.8108004411,1.2216884742,69.2307692308
USDJPY,Q5_high,lower,1pct,0.0100000000,-0.7316494116,1,4,55,0.4860364239,-1.2911711972,-0.0099136985,-0.0099136985,-0.0060981187,0.3850609248,-0.1909359048,49.0909090909
