candidate,pair,timestamp,log_return_pct,vol_regime,vol20_pct,entry_open_1,exit_close_6,next_open_long_return_6_pct,next_open_long_mae_6_pct,next_open_long_mfe_6_pct,horizon_bars,horizon_hours,threshold_pct
AUDJPY lower5 long h6 next-open,AUDJPY,2022-03-29 12:00:00,-0.7913480612,Q5_high,0.4924270155,92.0090000000,91.5510000000,-0.4990204298,-0.9566420381,0.6877792434,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-03-30 00:00:00,-1.1566980803,Q5_high,0.5493569472,91.4570000000,91.5740000000,0.1278472127,-0.2123468399,0.6940878092,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-03-31 04:00:00,-0.5914325485,Q5_high,0.5382114459,91.0340000000,91.8980000000,0.9446203230,-0.1022118512,0.9489728801,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-06 12:00:00,-0.5088416683,Q5_high,0.4113659122,93.3090000000,92.4900000000,-0.8816035657,-0.9703011237,0.0846291100,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-13 08:00:00,-0.5227191096,Q3_mid,0.2496031080,93.3040000000,93.2410000000,-0.0675440268,-0.3123711058,0.4149827342,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-18 00:00:00,-0.4806131973,Q2_lower,0.2226429566,93.1980000000,94.2220000000,1.0927437729,-0.1309898509,1.1383702625,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-20 00:00:00,-0.4980168295,Q4_higher,0.3130531887,95.1430000000,95.2910000000,0.1554344600,-0.4118071066,0.4812717355,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-22 04:00:00,-0.7413705106,Q5_high,0.3786070296,93.6650000000,92.2340000000,-1.5395760770,-1.6654223008,0.2761357698,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-25 00:00:00,-0.8335181058,Q4_higher,0.3041011725,92.2330000000,92.3810000000,0.1603345702,-1.2239440687,0.2404055563,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-25 12:00:00,-0.8598355137,Q4_higher,0.3133603936,91.2530000000,90.9790000000,-0.3007157980,-0.3864866411,1.4480471911,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-26 04:00:00,-0.5503256678,Q5_high,0.4155329702,91.8740000000,91.6540000000,-0.2397455488,-1.5742482826,0.3715578179,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-26 12:00:00,-0.9506326137,Q5_high,0.4424547696,90.9790000000,91.5020000000,0.5732119311,-0.5953120361,1.0964195078,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-28 08:00:00,-0.7414127186,Q5_high,0.5966454158,92.7200000000,93.1520000000,0.4648368532,-0.3825253468,0.8024233788,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-29 12:00:00,-1.0326668406,Q5_high,0.5563592506,92.1940000000,91.7860000000,-0.4435271973,-0.7293819553,0.0130151844,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-04-29 16:00:00,-0.5699818549,Q5_high,0.5716769858,91.6710000000,91.8990000000,0.2484067301,-0.1604847638,0.5124784763,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-05 12:00:00,-1.0980789287,Q5_high,0.3818633122,92.4710000000,92.4360000000,-0.0378568690,-0.5204335672,0.5639893094,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-06 04:00:00,-0.5949795380,Q5_high,0.4108522774,92.3340000000,91.8360000000,-0.5408060094,-0.7839254702,0.6498646501,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-09 12:00:00,-0.6867542984,Q5_high,0.4128632030,91.1300000000,90.1740000000,-1.0545921328,-1.5314742998,0.3406897052,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-09 16:00:00,-0.6594652415,Q5_high,0.4272581161,90.5320000000,90.4730000000,-0.0651915716,-0.8731063857,0.6857974888,6,24,-0.4801615003
AUDJPY lower5 long h6 next-open,AUDJPY,2022-05-11 16:00:00,-1.0698949915,Q5_high,0.3724637570,90.0860000000,88.0780000000,-2.2541984107,-3.1334126726,0.2439133765,6,24,-0.4801615003
