fold,stage,period_start,period_end,event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
wf_1,test,2022-01-01,2023-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,4,-0.7888502599226043,-0.08521416425371865,50.0,0.5054098098203921,-0.46772092145342087,-4.737923188496337,-5.401355396365415,-5.2686689547915995,-5.401355396365415,-4.244678372819709,-6.559521512482477,3.842069916971813,10.59305729548261,-0.9737025288755419,True,True,True,True,False,broken
wf_1,test,2022-01-01,2023-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,0,,,,,,,,,,,,,,,True,True,False,False,False,fragile
wf_2,train,2020-01-01,2023-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,73,0.22785965814383133,0.8165797511583086,54.794520547945204,1.1180752606886413,0.36467594804742565,-9.344201444924371,-12.350733007550346,-14.037186834914428,-14.320000233366162,-5.275366721438609,-36.61731954434463,3.9447915491973276,14.586244152905872,-28.45520456715037,False,False,False,False,True,watch
wf_2,train,2020-01-01,2023-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,6,2.217794651040121,1.0711519823932192,66.66666666666666,3.857935770116154,1.1087516033568023,-2.679226579590315,-3.0304148517102165,-2.960177197286236,-3.0304148517102165,-4.471234194331574,-9.425650229529623,6.188870570168483,14.586244152905872,-2.984958113982661,True,True,False,False,False,fragile
wf_2,train,2020-01-01,2023-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,4,0.1882215420262184,0.1767222677075117,50.0,1.2249020395834112,0.1718499025727558,-1.9196383089152609,-2.0249936773251798,-2.003922603643196,-2.0249936773251798,-4.0282808033022155,-5.911555222026431,2.868521485761696,5.133733710674386,-1.3139163107656948,True,True,False,False,False,fragile
wf_2,train,2020-01-01,2023-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,73,0.8587358003360216,1.8380706224248922,64.38356164383562,1.4057892476355796,1.1298817803721035,-8.964315188931941,-15.49824737702093,-18.391676831072015,-20.895051313156173,-6.334080142430615,-36.61731954434463,5.342162743236919,16.013387372730936,-42.4412787279136,False,False,False,False,True,watch
wf_2,train,2020-01-01,2023-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,6,-0.8365657689761099,-0.08521416425371865,50.0,0.5871513646969605,-0.5087034415652736,-5.683932106555185,-5.778124343285108,-5.759285895939123,-5.778124343285108,-5.926107159101309,-9.425650229529623,6.327848282651334,14.586244152905872,-6.1805780215122175,True,True,True,True,False,broken
wf_2,train,2020-01-01,2023-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,4,1.793998741858966,2.2803300567404405,75.0,4.148231470852537,1.0586974916521537,-1.891217395538479,-2.2793733668803626,-2.201742172611986,-2.2793733668803626,-6.516720407825671,-13.62172455334398,4.403001969363028,6.26513409602875,-2.2535919088942924,True,True,False,False,False,fragile
wf_2,test,2023-01-01,2024-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,36,0.4491460619017878,0.24609134106480315,52.77777777777778,1.533883047479601,0.9240352779608446,-3.3326890634070843,-5.772450070152534,-6.294716238995994,-7.513337299630736,-2.168893544648756,-12.257577792119946,2.2978565351416345,7.5046332338660555,-11.914906393679336,False,False,False,False,False,survives_this_test
wf_2,test,2023-01-01,2024-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,1,-0.2559653693198453,-0.2559653693198453,0.0,0.0,,-0.2559653693198453,-0.2559653693198453,-0.2559653693198453,-0.2559653693198453,-1.1644073799300818,-1.1644073799300818,0.6254819035108609,0.6254819035108609,0.0,True,True,True,True,False,broken
wf_2,test,2023-01-01,2024-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,6,0.6611897887530285,1.709419321729024,66.66666666666666,1.4329942213212647,0.33373446391736294,-6.0471950224379665,-7.513337299630736,-7.220108844192182,-7.513337299630736,-3.506584290788408,-12.257577792119946,3.233920576880837,6.898808550413792,-8.754914718513529,True,True,False,False,False,fragile
wf_2,test,2023-01-01,2024-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,36,1.184791845779278,0.8930374156417031,66.66666666666666,2.7318767771948913,1.873842511993591,-3.2883983334804676,-6.376730227159333,-7.2123428061586505,-9.162105490490392,-2.2604434101795587,-12.257577792119946,3.277289613336577,16.54069379542192,-12.543650638146763,False,False,False,False,False,survives_this_test
wf_2,test,2023-01-01,2024-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,1,1.0411477740802735,1.0411477740802735,100.0,inf,,1.0411477740802735,1.0411477740802735,1.0411477740802735,1.0411477740802735,-1.1644073799300818,-1.1644073799300818,1.4249411768412186,1.4249411768412186,0.0,True,True,False,False,False,fragile
wf_2,test,2023-01-01,2024-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,6,0.177281620693463,0.8105526905871123,66.66666666666666,1.0961836911244331,0.08089681011137383,-7.345787888297354,-9.162105490490392,-8.798841970051786,-9.162105490490392,-3.506584290788408,-12.257577792119946,3.48530949135478,6.898808550413792,-10.46937188934345,True,True,False,False,False,fragile
wf_3,train,2020-01-01,2024-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,109,0.30094507589875275,0.3621989715890767,54.12844036697248,1.1916508073586856,0.6734390871511635,-8.879055108227107,-11.274798418714207,-13.738564184421548,-14.123602039996902,-4.249375580480492,-36.61731954434463,3.4008497096926953,14.586244152905872,-30.823393023738564,False,False,False,False,True,watch
wf_3,train,2020-01-01,2024-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,7,1.8644003624172685,0.1507768206005336,57.14285714285714,3.656899631301747,1.0795144541881567,-2.6089889251663347,-3.0304148517102165,-2.9461296664014403,-3.0304148517102165,-3.998830363702789,-9.425650229529623,5.394100760645966,14.586244152905872,-2.984958113982661,True,True,False,False,False,fragile
wf_3,train,2020-01-01,2024-01-01,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,10,0.47200249006230444,0.9625939087220801,60.0,1.3773084846125203,0.38873581761537257,-5.043582669593236,-7.513337299630736,-7.019386373623236,-7.513337299630736,-3.715262895793931,-12.257577792119946,3.08776094043318,6.898808550413792,-8.754914718513529,True,True,False,False,False,fragile
wf_3,train,2020-01-01,2024-01-01,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,109,0.9664240355282898,1.3320279105041337,65.13761467889908,1.588127036268783,1.7617666390108473,-7.7149565960981965,-13.191576381519473,-17.085535153292607,-19.15659681170884,-4.988658836366045,-36.61731954434463,4.660186296664329,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
