period,event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
2022_stress,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,33,-0.6521005735318531,-0.17352808724850854,48.484848484848484,0.7212892132033916,-0.686660129304853,-10.379595156314252,-12.944604151208821,-13.439746740785463,-14.320000233366162,-5.121497572537727,-20.25185698185711,3.408388831896034,12.712233819312827,-25.855070414509353,False,False,True,True,True,broken
2022_stress,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,4,0.333333132532203,-0.7374424713150383,50.0,1.2863639584130333,0.17119517959411512,-2.8197018884382756,-3.0304148517102165,-2.988272259055828,-3.0304148517102165,-3.135930858452446,-5.9460107683525445,3.720756081731974,10.59305729548261,-1.6125191966570918,True,True,False,False,False,fragile
2022_stress,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,0,,,,,,,,,,,,,,,True,True,False,False,False,fragile
2022_stress,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,33,-1.1230150324174923,1.1827252674730024,57.57575757575758,0.62623843687118,-0.9273290971708742,-14.923588632994766,-19.15659681170884,-19.78244043222988,-20.895051313156173,-6.467719552889969,-25.785250679330478,4.104271845410241,13.370013590182026,-42.4412787279136,False,False,True,True,True,broken
2022_stress,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,4,-0.7888502599226043,-0.08521416425371865,50.0,0.5054098098203921,-0.46772092145342087,-4.737923188496337,-5.401355396365415,-5.2686689547915995,-5.401355396365415,-4.244678372819709,-6.559521512482477,3.842069916971813,10.59305729548261,-0.9737025288755419,True,True,True,True,False,broken
2022_stress,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,0,,,,,,,,,,,,,,,True,True,False,False,False,fragile
2022_stress,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,33,-2.4710220292578997,-0.31086141098430903,48.484848484848484,0.4641262583526033,-1.3896721036061745,-24.517113225603403,-26.83490697519162,-27.64401762424214,-29.082436555887504,-9.976328045456238,-37.51365664326547,6.187116853385797,25.949261591605406,-66.99133708383879,False,False,True,True,True,broken
2022_stress,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,4,-2.2359265246999014,0.2359268553361359,50.0,0.3595231475072517,-0.6031496463056014,-11.19628080957098,-13.002371938146872,-12.641153712431693,-13.002371938146872,-7.950447097286031,-14.641592066042206,5.762933527809488,10.59305729548261,-12.192539671292035,True,True,True,True,False,broken
2022_stress,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,0,,,,,,,,,,,,,,,True,True,False,False,False,fragile
2023_2024,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,70,0.5024601873920472,0.32063342119975313,54.285714285714285,1.5328658954193672,1.384078701929451,-4.539292784585546,-6.091537410873352,-6.70490313926235,-7.513337299630736,-2.702942966694284,-12.257577792119946,2.729867338065538,8.634510111262479,-11.914906393679336,False,False,False,False,False,survives_this_test
2023_2024,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,3,1.0193119882883428,0.906764344121453,66.66666666666666,12.946678462756967,1.3223593336378001,-0.13969239797571545,-0.2559653693198453,-0.2327107750510193,-0.2559653693198453,-1.4088165386045672,-1.6105884490269335,3.022746240104242,4.766720223985407,0.0,True,True,False,False,False,fragile
2023_2024,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,17,-0.0796035884564087,-0.7972547095768451,47.05882352941176,0.9539357701451315,-0.0814541799581239,-6.57602233108768,-7.513337299630736,-7.325874305922126,-7.513337299630736,-4.135323339194141,-12.257577792119946,2.9964550615343657,6.898808550413792,-19.249752615281402,True,True,True,True,False,broken
2023_2024,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,70,0.9808186487647346,1.0740998048446602,64.28571428571429,1.883056667735765,1.8857760370052696,-5.053811336807431,-8.823158089755708,-10.838831900546495,-14.570900361639113,-3.3880545949258476,-24.800118946067222,3.7604904252553237,16.54069379542192,-13.55907934573537,False,False,False,False,False,survives_this_test
2023_2024,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,3,3.095094779002175,4.1067786059493026,100.0,inf,3.013690652429974,1.3477108572671765,1.0411477740802735,1.1024603907176542,1.0411477740802735,-1.4088165386045672,-1.6105884490269335,4.376579889854098,6.561935752041556,0.0,True,True,False,False,False,fragile
2023_2024,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,17,-0.07049329650036386,0.514053545565178,58.82352941176471,0.957926895831771,-0.07081553958293697,-6.001207411251026,-9.162105490490392,-8.529925874642519,-9.162105490490392,-4.548700316699423,-12.257577792119946,3.5496669654764723,6.997349780838566,-16.5215758158713,True,True,True,True,False,broken
2023_2024,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,70,2.449259256322205,1.8096526306516245,65.71428571428571,2.9712866433987024,3.507660225511063,-5.94138690407752,-8.38752930507415,-9.068001980943658,-10.758947674604844,-4.3911557704716175,-24.800118946067222,6.399709713456946,24.10045192353545,-15.450512164097796,False,False,False,False,False,survives_this_test
2023_2024,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,3,2.0041056033330595,0.338093621263299,66.66666666666666,11721.260081350956,1.0904226067330505,0.03334767568836346,-0.0005129849310738299,0.006259147192813627,-0.0005129849310738299,-2.30547560103034,-4.141430974134005,5.397341644767271,8.050788910841352,-0.00051298361529728,True,True,False,False,False,fragile
2023_2024,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,17,1.890803280738432,1.5592539027121157,70.58823529411765,2.5452190653616373,1.480744503996027,-6.63300483493053,-8.2554823470214,-7.9309868446032254,-8.2554823470214,-5.51579565333987,-15.30519949264403,6.241955924205072,15.14805576551559,-9.790359293481066,True,True,False,False,False,fragile
2025_2026,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,58,0.2880831575245274,0.0620375527199588,50.0,1.2948156390716092,0.6724502602692879,-3.1775488777417022,-5.686516969169281,-6.42330424040963,-10.255774739052239,-3.0126603176146753,-16.987413450951745,2.313693709117657,16.15690254573776,-23.46088384307431,False,False,False,False,True,watch
2025_2026,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,6,0.5158379574961308,0.5706725049392356,66.66666666666666,1.726873686262261,0.46440945011478607,-2.830571001243831,-3.5321422852932787,-3.391828028483389,-3.5321422852932787,-1.4513371707475755,-4.037484630176246,1.907621733018731,5.442578403566576,-3.4704901515850928,True,True,False,False,False,fragile
2025_2026,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,5,-1.1405800352549627,-0.7614415507194254,20.0,0.04800209262369759,-1.9144855867561898,-2.62776657152459,-2.6884128774660185,-2.676283616277733,-2.6884128774660185,-5.234245027660271,-11.103966775930456,1.0631560192851126,3.782272765609171,-5.396414998603993,True,True,True,True,False,broken
2025_2026,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,58,-0.17392408163750456,0.13720049116664973,53.44827586206896,0.8967406209072503,-0.31645613201371064,-7.312999813104463,-9.815662900605805,-10.567851279995862,-13.8836558601179,-4.28091378474314,-18.281351962859926,3.1367032521609257,16.15690254573776,-27.89261853840155,False,False,True,True,True,broken
2025_2026,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,6,2.0766029253864193,2.9267521923300963,83.33333333333334,4.625579326235119,1.7564812422178164,-2.1784621190262574,-3.436586661381054,-3.1849617529100946,-3.436586661381054,-1.4926137151315424,-4.037484630176246,3.8044813772595325,6.946730523974145,-3.37820669219423,True,True,False,False,False,fragile
2025_2026,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,5,-1.7165317589944977,-1.3101702752785795,20.0,0.08482389374897856,-2.164469343641582,-3.5206077735567063,-3.587275353732574,-3.5739418376974004,-3.587275353732574,-7.124813257000157,-11.103966775930456,1.0631560192851126,3.782272765609171,-5.189233587275388,True,True,True,True,False,broken
2025_2026,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,58,-1.040892503088323,-1.460166045539226,43.103448275862064,0.6937283879911194,-1.0996231226844457,-12.803159219246735,-16.483829014913766,-17.663007586148467,-23.01416974958607,-7.007365398726765,-26.527119313055625,4.776734491805826,18.609861950601243,-62.3434684920301,False,False,True,True,True,broken
2025_2026,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,6,4.895653876073265,5.419331193110992,83.33333333333334,10.52033621259601,2.6987575871475147,-1.2847368804263224,-3.085387175462986,-2.725257116455653,-3.085387175462986,-1.5861754231057983,-4.598854878021783,7.383145054756798,11.711773451276303,-3.038274880821612,True,True,False,False,False,fragile
2025_2026,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,5,-2.012520889639414,-4.761813081794932,40.0,0.4187745030394191,-0.7853391345336027,-6.8337269305099895,-7.205903416603215,-7.131468119384571,-7.205903416603215,-8.368846429790466,-13.307512503262725,4.2497512369219725,11.99450386541659,-6.952403568276222,True,True,True,True,False,broken
post_btc_etf,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,91,0.4050635645655716,0.28981994350858675,52.74725274725275,1.403971072248585,1.192736073965877,-3.6925028386005767,-6.192290094964557,-6.733101703961948,-10.255774739052239,-3.0677412423294337,-16.987413450951745,2.649489429701732,16.15690254573776,-23.46088384307431,False,False,False,False,True,watch
post_btc_etf,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,8,0.8011161348952075,0.8163847143629943,75.0,2.5051502889834594,0.9468165433875642,-2.549942487624052,-3.5321422852932787,-3.3357023257594336,-3.5321422852932787,-1.471258157546134,-4.037484630176246,2.486060901864282,5.442578403566576,-3.4704901515850706,True,True,False,False,False,fragile
post_btc_etf,rolling_2sigma,24h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,15,-0.6582862374990973,-0.7972547095768451,33.33333333333333,0.6059273743607096,-0.79140324480945,-4.599512451021087,-6.341693588951916,-5.9932573613657505,-6.341693588951916,-4.582435381930269,-11.103966775930456,2.359561150384627,6.561772776716013,-10.117268868886564,True,True,True,True,False,broken
post_btc_etf,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,91,0.1727167587311603,0.297765022035631,56.043956043956044,1.1042162915427784,0.36665962176884787,-6.814597168434028,-10.259687956974489,-13.952380310270021,-14.570900361639113,-4.366870032555275,-24.800118946067222,3.568309848671472,16.15690254573776,-27.89261853840156,False,False,False,False,True,watch
post_btc_etf,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,8,2.5879692644055963,3.5419709428837027,87.5,7.024510991649079,2.789291317284704,-1.6752123020843384,-3.436586661381054,-3.0843117895217107,-3.436586661381054,-1.5022155658341092,-4.037484630176246,4.316460844534784,6.946730523974145,-3.378206692194219,True,True,False,False,False,fragile
post_btc_etf,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,15,-0.7363141163737335,-1.3101702752785795,40.0,0.5879243725025791,-0.8876729526519388,-4.966493806455345,-5.210982891441185,-5.162085074444017,-5.210982891441185,-5.68111869954955,-11.103966775930456,2.818917698494078,6.997349780838566,-8.590909888241216,True,True,True,True,False,broken
post_btc_etf,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,91,0.32187295861773496,0.2979342828716196,51.64835164835166,1.1210990178728883,0.44261040511347344,-11.604355960595392,-14.861199160429258,-14.564966333631958,-23.01416974958607,-6.428535489516886,-26.527119313055625,5.517935676290312,18.609861950601243,-62.3434684920301,False,False,False,False,True,watch
post_btc_etf,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,8,4.381018305646933,5.357138306670985,75.0,12.357511462943743,2.978163360692552,-2.0056812087768168,-3.085387175462986,-2.869445982125752,-3.085387175462986,-1.9086339952244662,-4.598854878021783,7.218784921891707,11.711773451276303,-3.038274880821612,True,True,False,False,False,fragile
post_btc_etf,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,15,1.4397735763475568,1.2668095677289881,60.0,1.7670912962151144,0.9090359483218808,-6.520940844816433,-7.205903416603215,-7.068910902245859,-7.205903416603215,-7.004791790225666,-15.30519949264403,6.382762999405932,15.14805576551559,-13.521916982211923,True,True,False,False,False,fragile
