event_def,horizon,risk_env,term,coef_pct,se_pct,t_stat,naive_p
rolling_2sigma,5d,broad_3of4_5d_up,funding_low,3.118902012985061,1.7720845943735135,1.7600186937394426,0.07995662736770692
rolling_2sigma,5d,broad_3of4_5d_up,risk_on,2.543233560291308,1.3609126491361956,1.8687706091243697,0.06313906796143808
rolling_2sigma,5d,broad_3of4_5d_up,funding_low_x_risk_on,-3.338899375176357,3.0454182378001327,-1.0963680895233037,0.27425615074419707
rolling_1_5sigma,24h,nasdaq_5d_up,intercept_not_low_risk_off,-0.2764090251237047,0.3565258315892045,-0.7752847076791568,0.4387283261376188
rolling_1_5sigma,24h,nasdaq_5d_up,funding_low,1.0067330314621494,0.6621194015228083,1.5204705210975005,0.12935321105686087
rolling_1_5sigma,24h,nasdaq_5d_up,risk_on,0.3350432256636759,0.48586281010102594,0.6895840115731641,0.49094190857041486
rolling_1_5sigma,24h,nasdaq_5d_up,funding_low_x_risk_on,-0.18948335170351957,1.0876154864995637,-0.1742190636815611,0.8618004572637722
rolling_1_5sigma,24h,sp500_5d_up,intercept_not_low_risk_off,-0.1453820006348827,0.3597389384886393,-0.4041319553720592,0.686378262388406
rolling_1_5sigma,24h,sp500_5d_up,funding_low,0.8250452572785064,0.6689919226215616,1.2332663958713022,0.2183567923215742
rolling_1_5sigma,24h,sp500_5d_up,risk_on,0.09041567060437168,0.4867768888012291,0.18574355661591832,0.8527603329478806
rolling_1_5sigma,24h,sp500_5d_up,funding_low_x_risk_on,0.1972511975062594,1.0797754203451055,0.18267798450460768,0.8551632059485792
rolling_1_5sigma,24h,broad_3of4_5d_up,intercept_not_low_risk_off,-0.12697705499917455,0.3387240902679503,-0.3748686870742744,0.707999656305263
rolling_1_5sigma,24h,broad_3of4_5d_up,funding_low,0.7233310373632782,0.6480173409253281,1.1162217300086552,0.2651418078173987
rolling_1_5sigma,24h,broad_3of4_5d_up,risk_on,0.06341527055540662,0.48465299239083914,0.1308467533493873,0.895976508412151
rolling_1_5sigma,24h,broad_3of4_5d_up,funding_low_x_risk_on,0.5136825001041907,1.0970610137415981,0.4682351242728452,0.6399265064361149
rolling_1_5sigma,48h,nasdaq_5d_up,intercept_not_low_risk_off,-0.751618961721065,0.454328818193333,-1.6543501790397643,0.09901006047002445
rolling_1_5sigma,48h,nasdaq_5d_up,funding_low,1.1447154485725382,0.8437535195019042,1.356694131774765,0.17580858313221756
rolling_1_5sigma,48h,nasdaq_5d_up,risk_on,1.4948016792767778,0.6191458142972183,2.414296672543125,0.016310989993750042
rolling_1_5sigma,48h,nasdaq_5d_up,funding_low_x_risk_on,-1.2481063527798346,1.3859726697151784,-0.9005273913780164,0.36849835288816835
rolling_1_5sigma,48h,sp500_5d_up,intercept_not_low_risk_off,-0.41036812437436254,0.4608909300956134,-0.8903801259209643,0.3739124391951564
rolling_1_5sigma,48h,sp500_5d_up,funding_low,0.990722916894532,0.8571001814229275,1.1559009534332014,0.24856038232517252
rolling_1_5sigma,48h,sp500_5d_up,risk_on,0.8489226576662399,0.6236496220598386,1.3612173047782052,0.17437659173591313
rolling_1_5sigma,48h,sp500_5d_up,funding_low_x_risk_on,-1.1588893967817648,1.3833884646128007,-0.8377179848077804,0.40279725478078754
rolling_1_5sigma,48h,broad_3of4_5d_up,intercept_not_low_risk_off,-0.3390969933186726,0.43425742456307664,-0.7808663114046958,0.4354426166722032
rolling_1_5sigma,48h,broad_3of4_5d_up,funding_low,0.8933659286035107,0.830783370972633,1.075329574251841,0.28301515667986243
rolling_1_5sigma,48h,broad_3of4_5d_up,risk_on,0.8032797111348556,0.621343938412957,1.2928100870937937,0.19698388567345756
rolling_1_5sigma,48h,broad_3of4_5d_up,funding_low_x_risk_on,-1.0574058372091566,1.406474780223394,-0.7518128672319357,0.4527010909386563
rolling_1_5sigma,5d,nasdaq_5d_up,intercept_not_low_risk_off,-1.9085513471297204,0.7419132441116466,-2.572472404660986,0.010535649480089077
rolling_1_5sigma,5d,nasdaq_5d_up,funding_low,3.137179077629644,1.3778388819216292,2.2768838351072787,0.023434879804714776
rolling_1_5sigma,5d,nasdaq_5d_up,risk_on,3.5238787540721934,1.011057325155028,3.4853402140495526,0.0005581402747284832
rolling_1_5sigma,5d,nasdaq_5d_up,funding_low_x_risk_on,-2.6798790885006234,2.263275932456703,-1.1840708638613555,0.23723976103763608
