event_def,horizon,risk_env,period,group,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct
rolling_2sigma,48h,nasdaq_5d_up,post_btc_etf,funding_high_x_risk_off,15,-0.7363141163737335,-1.3101702752785795,40.0,0.5879243725025791,-0.8876729526519388,-5.68111869954955,-11.103966775930456,2.818917698494078,6.997349780838566,-8.590909888241216
rolling_2sigma,48h,broad_3of4_5d_up,all,all_funding_covered_crashes,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136
rolling_2sigma,48h,broad_3of4_5d_up,all,funding_low_x_risk_on,14,0.937428506001225,2.4884418425939097,71.42857142857143,1.7445178445934897,0.918139408481644,-3.6313202997009393,-9.425650229529623,5.343212178271474,14.586244152905872,-6.1805780215122175
rolling_2sigma,48h,broad_3of4_5d_up,all,funding_high_x_risk_off,30,0.5339494054649122,0.6547723720917549,60.0,1.43504818120032,0.8003435601302172,-4.800943472682347,-13.62172455334398,3.578118523250757,8.102806499104759,-11.889449655201457
rolling_2sigma,48h,broad_3of4_5d_up,2020_plus,all_funding_covered_crashes,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136
rolling_2sigma,48h,broad_3of4_5d_up,2020_plus,funding_low_x_risk_on,14,0.937428506001225,2.4884418425939097,71.42857142857143,1.7445178445934897,0.918139408481644,-3.6313202997009393,-9.425650229529623,5.343212178271474,14.586244152905872,-6.1805780215122175
rolling_2sigma,48h,broad_3of4_5d_up,2020_plus,funding_high_x_risk_off,30,0.5339494054649122,0.6547723720917549,60.0,1.43504818120032,0.8003435601302172,-4.800943472682347,-13.62172455334398,3.578118523250757,8.102806499104759,-11.889449655201457
rolling_2sigma,48h,broad_3of4_5d_up,2021_plus,all_funding_covered_crashes,193,0.44450982930873867,0.7449270572031328,59.58549222797927,1.260030115973738,1.1941923977479465,-4.790294056242209,-36.61731954434463,4.066105172340797,16.54069379542192,-42.44127872791358
rolling_2sigma,48h,broad_3of4_5d_up,2021_plus,funding_low_x_risk_on,14,0.937428506001225,2.4884418425939097,71.42857142857143,1.7445178445934897,0.918139408481644,-3.6313202997009393,-9.425650229529623,5.343212178271474,14.586244152905872,-6.1805780215122175
rolling_2sigma,48h,broad_3of4_5d_up,2021_plus,funding_high_x_risk_off,27,0.3749400955584997,0.514053545565178,55.55555555555556,1.2749423530882955,0.5131978465771946,-5.068438710005754,-13.62172455334398,3.4546966303782525,8.102806499104759,-11.889449655201457
rolling_2sigma,48h,broad_3of4_5d_up,2022_rate_hike,all_funding_covered_crashes,33,-1.1230150324174923,1.1827252674730024,57.57575757575758,0.62623843687118,-0.9273290971708742,-6.467719552889969,-25.785250679330478,4.104271845410241,13.370013590182026,-42.4412787279136
rolling_2sigma,48h,broad_3of4_5d_up,2022_rate_hike,funding_low_x_risk_on,4,-0.7888502599226043,-0.08521416425371865,50.0,0.5054098098203921,-0.46772092145342087,-4.244678372819709,-6.559521512482477,3.842069916971813,10.59305729548261,-0.9737025288755419
rolling_2sigma,48h,broad_3of4_5d_up,2022_rate_hike,funding_high_x_risk_off,0,,,,,,,,,,
rolling_2sigma,48h,broad_3of4_5d_up,2023_plus,all_funding_covered_crashes,128,0.45757584905121995,0.5945693535241451,59.375,1.3338419596610585,1.2041105748577627,-3.7926314153118077,-24.800118946067222,3.477836862446925,16.54069379542192,-27.89261853840157
rolling_2sigma,48h,broad_3of4_5d_up,2023_plus,funding_low_x_risk_on,8,2.2679242122342265,3.2782777669373306,87.5,4.3171573740423765,1.9525447551674404,-1.9102301551506633,-7.793452451906104,4.60473509998658,6.946730523974145,-5.322670499438498
rolling_2sigma,48h,broad_3of4_5d_up,2023_plus,funding_high_x_risk_off,24,0.13565503005732604,0.35701536576586285,54.166666666666664,1.0942576692091524,0.17522924832369954,-4.7511945455457765,-12.257577792119946,3.259331885925578,8.102806499104759,-11.889449655201457
rolling_2sigma,48h,broad_3of4_5d_up,post_btc_etf,all_funding_covered_crashes,91,0.1727167587311603,0.297765022035631,56.043956043956044,1.1042162915427784,0.36665962176884787,-4.366870032555275,-24.800118946067222,3.568309848671472,16.15690254573776,-27.89261853840156
