condition_id,condition,short_label,direction,horizon_hours,n,rebound_probability_%,mean_net_return_bps,median_net_return_bps,p5_net_return_bps,p95_net_return_bps,std_net_return_bps,t_stat,baseline_mean_net_return_bps,excess_vs_baseline_bps
overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,889,51.74353205849269,3.305513943902804,0.9674337610186027,-61.05761049034172,68.57470041197858,46.67304333047869,2.1116588354103634,-1.1039783160732726,4.409492259976076
strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,326,53.37423312883436,5.947008410477059,1.6758444755018738,-57.05086929200882,77.51620411739341,55.40161672421377,1.9381389714079378,-1.1039783160732726,7.050986726550331
oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,8,1549,51.38799225306649,0.3899718910084304,1.6019223067682131,-97.5491974457493,93.85178569459819,64.7541805504901,0.2370233879063687,-0.5734876149645455,0.9634595059729758
strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,8,670,50.74626865671642,4.786117497382986,1.5193142356854121,-98.15838749457491,122.53512448214265,72.46806219222336,1.7095196972980338,-0.5734876149645455,5.3596051123475315
overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,8,889,51.06861642294713,6.889649060360556,1.2823096228169926,-81.41366163462021,100.43632968907755,73.775253722543,2.784436187896813,-1.27807437508885,8.167723435449407
strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,8,326,56.74846625766872,15.463171324607025,8.39113364621458,-79.35685014003468,119.0562926984874,76.55366813050402,3.6470470206451577,-1.27807437508885,16.741245699695874
oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,12,1549,52.29180116204003,1.4319369085772415,2.986273439671296,-118.94856360492281,118.12309683945394,76.9606758241687,0.7322859799704763,-0.3999870366496089,1.8319239452268503
strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,12,670,53.88059701492537,8.996172063688546,5.060210707545511,-118.7067469089293,142.48177302327593,86.61629896051025,2.688410183991766,-0.3999870366496089,9.396159100338155
overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,12,889,51.40607424071991,8.102934637858219,1.8230654237407036,-97.69035575871993,128.32097783855838,83.52341295448517,2.8925773681396496,-1.4515929134480932,9.554527551306313
strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,12,326,54.29447852760736,18.190055900669773,7.4526802512188945,-84.80016302331772,141.7675661788365,87.75905306791331,3.742406038836047,-1.4515929134480932,19.641648814117865
oversold,売られすぎ候補: VWAP Z<=-2.0 & ret pct<=10,売られすぎ,Long,24,1549,53.9057456423499,8.46610775042771,7.082416967981504,-149.7898699697601,160.8412263535548,101.92991717786785,3.2689466218306724,0.12009731535495428,8.346010435072756
strong_oversold,強い売られすぎ候補: VWAP Z<=-2.5 & ret pct<=5,強い売られすぎ,Long,24,670,55.82089552238806,15.509684279599258,10.071367160066078,-150.46395041786454,177.93786788962146,108.77387620358566,3.690759561447145,0.12009731535495428,15.389586964244304
overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,24,889,50.95613048368954,11.264261701123342,1.9460820788742128,-128.25929745401012,191.69938062031318,104.59330526265799,3.2110696436439112,-1.9717310712701974,13.235992772393539
