year,condition_id,condition,short_label,direction,horizon_hours,n,rebound_probability_%,mean_net_return_bps,median_net_return_bps,p5_net_return_bps,p95_net_return_bps,std_net_return_bps,t_stat
2021,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,56,39.285714285714285,-4.613431682185485,-4.011824804683817,-40.93317207416325,34.93466196317166,21.233311719068386,-1.625924486996004
2022,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,43,72.09302325581395,26.216275024026366,14.754079897284099,-24.174611549688862,110.90211544003758,45.82077600151953,3.7518267215846755
2023,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,62,46.774193548387096,-6.535460107323259,-2.660932743732893,-72.04722681653318,38.96899457376684,35.41954180640009,-1.452877753942454
2024,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,73,56.16438356164384,7.368771737807499,3.71712666109066,-44.98650838072255,94.200694777344,42.43009055347223,1.4838246278752063
2025,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,36,36.11111111111111,-3.490976526854827,-4.653072751072359,-70.4508048426501,73.06899418983366,47.30982449771397,-0.44273804402172484
2026,overbought,買われすぎ候補: VWAP Z>=2.0 & ret pct>=90,買われすぎ,Short,4,21,57.14285714285714,7.020612714757802,6.478235790034438,-34.93547158241048,50.30449802343455,29.849001914696128,1.0778413724616684
2010,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,9,44.44444444444444,-15.259763638009446,-10.134476710192057,-88.43418201011521,51.60504077693118,52.22786115455427,-0.8765300723029203
2011,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,24,50.0,-4.811747874615443,-3.1834605715883124,-97.8017188106956,94.26437507121905,63.53968352128637,-0.3709910534817429
2012,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,20,65.0,-0.3554535098591824,1.766138192152859,-48.974920400885125,49.245069059921626,35.11242867544149,-0.04527275616465341
2013,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,19,36.84210526315789,-1.8865775304756032,-4.429500473151324,-57.670413951832266,59.678786584173615,45.608054432594926,-0.18030588909797088
2014,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,18,55.55555555555556,-4.920313268671569,5.247367936433026,-85.49349797766871,24.71351442626994,35.01929468407031,-0.5961034182831393
2015,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,19,57.89473684210527,13.034956194171205,1.7312082751756537,-14.217743148770996,75.67787011582475,28.49583301066985,1.9939075570311326
2016,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,19,52.63157894736842,59.25857641732623,1.1789343373064254e-12,-29.366293450172293,337.1672686563288,154.6084385827512,1.6706859503205986
2017,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,12,66.66666666666666,7.339704421777503,10.638024657763436,-30.454246617147895,40.30357198726093,25.43852758072532,0.9994871700584574
2018,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,15,66.66666666666666,5.4587251174697,2.980625931445166,-13.26525139279719,27.843328550984253,14.464918061816416,1.4615742295348644
2019,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,27,55.55555555555556,5.328724640348708,1.9895300978601242,-31.601001715444212,57.63632912266817,30.26903335683023,0.9147588270649697
2020,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,31,48.38709677419355,3.6075301999733806,-2.1760756030838455,-51.51462617182323,74.34096537572854,39.070079938805556,0.5140987199592331
2021,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,19,57.89473684210527,-0.11678351959446627,2.4691938669923292,-23.674323736084833,16.873353648848582,16.139519415606124,-0.031540441017782514
2022,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,11,72.72727272727273,31.79807769829943,16.783155012310953,-15.927051166231962,104.14361547285311,44.52804341757864,2.368446594224102
2023,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,22,45.45454545454545,-4.086522702141136,-2.660932743732893,-43.26353862764471,38.26843079112827,31.97390238647917,-0.5994729780967988
2024,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,32,56.25,9.131292924374664,5.430902862241184,-56.09640690796967,127.2785404817665,55.123419418949524,0.9370680144136981
2025,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,20,40.0,-2.4347670134671757,-5.97513283704958,-72.42198016086516,61.47769310209882,52.22776816878989,-0.20848313999908355
2026,strong_overbought,強い買われすぎ候補: VWAP Z>=2.5 & ret pct>=95,強い買われすぎ,Short,4,9,44.44444444444444,2.5175881175254626,-12.026346950858484,-31.073210260809404,40.489151311182304,28.310631645593126,0.26678190890001074
