combo_id,is_blocks,oos_blocks,is_start,is_end,oos_start,oos_end,selected_strategy_id,selected_strategy_index,selected_is_sharpe,selected_oos_sharpe,selected_is_cum_return,selected_oos_cum_return,oos_rank_desc_1_best,oos_percentile_desc_1_best,oos_median_sharpe,oos_median_or_worse,oos_loss,best_oos_strategy_id,best_oos_sharpe
51,1;3;6;7,0;2;4;5,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2024-07-01 19:00,ma_s20_l100_sl_none_tp_none,81,0.4156672229311006,0.2752142375397324,0.11994820304356435,0.06380108651255822,23,0.1597222222222222,-0.31020830134845623,False,False,ma_s10_l50_sl_none_tp_none,0.9566680853421526
52,1;4;5;6,0;2;3;7,2020-09-30 20:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,0.44496736998864667,0.6945035099037644,0.1201331928912579,0.2092441054608296,4,0.027777777777777776,-0.41679251168076026,False,False,ma_s5_l50_sl_none_tp_none,0.8185282805181188
53,1;4;5;7,0;2;3;6,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s10_l50_sl_none_tp_none,36,0.6502333708575831,0.37011837634064,0.17648124652711195,0.10390326334314781,36,0.25,-0.016197988746952545,False,False,ma_s20_l100_sl_atr1_5_tp_none,0.7840584071240907
54,1;4;6;7,0;2;3;5,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2024-07-01 19:00,ma_s20_l50_sl_none_tp_none,72,0.5523506711584694,0.5915102399343142,0.15908589458032174,0.16860576698261243,10,0.06944444444444445,-0.24968910264046526,False,False,ma_s5_l50_sl_atr1_5_tp_none,0.7973772831783443
55,1;5;6;7,0;2;3;4,2020-09-30 20:00,2025-12-31 20:00,2020-01-01 22:00,2023-09-29 05:00,ma_s10_l150_sl_none_tp_none,54,0.4079035836051783,0.16982624141494465,0.10501619487577063,0.03725508198585903,37,0.2569444444444444,-0.33572428846396385,False,False,ma_s20_l50_sl_none_tp_none,0.9689892344636889
56,2;3;4;5,0;1;6;7,2021-07-02 09:00,2024-07-01 19:00,2020-01-01 22:00,2025-12-31 20:00,ma_s10_l50_sl_atr1_5_tp_none,42,0.7506309477747289,0.2578731391260752,0.2207890271215398,0.06002636846010945,34,0.2361111111111111,-0.3629847782694728,False,False,ma_s20_l100_sl_none_tp_none,0.6565857248368008
57,2;3;4;6,0;1;5;7,2021-07-02 09:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s20_l50_sl_none_tp_none,72,0.7652634342696639,0.3336881377713527,0.258229250251617,0.07652437786189781,15,0.10416666666666667,-0.42592057008904205,False,False,ma_s10_l150_sl_none_tp_none,0.6867445745440937
58,2;3;4;7,0;1;5;6,2021-07-02 09:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s20_l50_sl_none_tp_none,72,0.8008512018409465,0.31250538829875624,0.25990517515131284,0.07509238595840051,41,0.2847222222222222,-0.08277324422902452,False,False,ma_s10_l150_sl_none_tp_none,0.981708103601354
59,2;3;5;6,0;1;4;7,2021-07-02 09:00,2025-04-02 07:00,2020-01-01 22:00,2025-12-31 20:00,ma_s5_l50_sl_atr1_5_tp_none,6,0.6253466291978147,-0.15260100363279722,0.18153719603361984,-0.05113734570380557,44,0.3055555555555556,-0.6117394987883586,False,True,ma_s20_l50_sl_none_tp_none,0.7691623607708042
60,2;3;5;7,0;1;4;6,2021-07-02 09:00,2025-12-31 20:00,2020-01-01 22:00,2025-04-02 07:00,ma_s5_l50_sl_atr1_5_tp_none,6,0.9758376612795747,-0.46292567353903064,0.2929742205594006,-0.1329165716133981,77,0.5347222222222222,-0.1570035322362286,True,True,ma_s20_l50_sl_none_tp_none,0.725816177334501
