full_sample_rank,strategy_id,short_ma,long_ma,sl_atr,tp_atr,full_sample_sharpe,full_sample_cum_return,full_sample_max_drawdown,bar_profit_factor,trade_count,win_rate,trade_profit_factor,avg_trade_return,median_trade_return
18,ma_s30_l50_sl_atr1_0_tp_none,30,50,1.0,none,0.19489577402263106,0.08675246580303386,-0.11164408805739534,1.00791645540045,2446,0.24325429272281276,1.0400605734871617,4.4151068733931766e-05,-0.0010761711424282115
19,ma_s5_l100_sl_atr1_5_tp_none,5,100,1.5,none,0.18534567561562562,0.08190723766424846,-0.19443376794983092,1.00761179985699,1343,0.24199553239017127,1.054246297430962,7.769604347555517e-05,-0.0012862211862708652
20,ma_s20_l150_sl_none_tp_none,20,150,none,none,0.18029182786986056,0.08024476904512778,-0.18378976188115526,1.0075565772184365,394,0.3020304568527919,1.0769601446845376,0.0002644868581197635,-0.0026549284528749723
21,ma_s20_l150_sl_atr1_5_tp_none,20,150,1.5,none,0.15459779353699046,0.06348013123193286,-0.16425150060506633,1.0063527628371378,1029,0.21865889212827988,1.0531155854355416,8.489173497996469e-05,-0.0015259833665333725
22,ma_s20_l150_sl_atr1_0_tp_none,20,150,1.0,none,0.14819642711789613,0.059439663185853586,-0.15918645410504528,1.0060749432944915,1403,0.17533856022808267,1.0490990746205657,5.93317026783804e-05,-0.0011775819337399077
23,ma_s5_l100_sl_none_tp_none,5,100,none,none,0.14579472181793043,0.058918564105364224,-0.23104831886070976,1.006105896051038,832,0.2548076923076923,1.0478465923408888,0.0001012861372091358,-0.0013802623064967348
24,ma_s10_l100_sl_none_tp_none,10,100,none,none,0.1322668973828778,0.05067158713569775,-0.252904494898463,1.0055385027476085,636,0.2908805031446541,1.0461396347597505,0.00012021274911463825,-0.0017090294553241134
25,ma_s10_l50_sl_none_tp_atr2_0,10,50,none,2.0,0.13000752517043684,0.048741536672293195,-0.1838571913381466,1.005386372427749,2435,0.6258726899383984,1.0170377815774372,3.0116175773585385e-05,0.0017031050237437543
26,ma_s10_l50_sl_none_tp_atr1_5,10,50,none,1.5,0.12249760729272692,0.04417442295916474,-0.1665303238089424,1.0050533672009574,3052,0.6988859764089121,1.0151418497291271,2.2475685585872593e-05,0.0014102825017317383
27,ma_s5_l100_sl_atr1_0_tp_none,5,100,1.0,none,0.1190871276273371,0.042170345942337706,-0.21191875070809407,1.0048537784778249,1770,0.207909604519774,1.0331369378767268,3.759215128689049e-05,-0.0010778902237314327
