symbol,oi_timestamp,oi_time_ms,open_interest_contracts,open_interest_value_usdt,cmc_circulating_supply
ETHUSDT,2026-05-13 04:00:00,1778644800000,2217590.3229999999,5101593802.3809585571,120686358.3558151573
ETHUSDT,2026-05-13 08:00:00,1778659200000,2196317.7519999999,5051794387.7302398682,120686358.3558151573
ETHUSDT,2026-05-13 12:00:00,1778673600000,2143984.4070000001,4932828988.2745647430,120686358.3558151573
ETHUSDT,2026-05-13 16:00:00,1778688000000,2216423.6150000002,4955445606.8052568436,120686358.3558151573
ETHUSDT,2026-05-13 20:00:00,1778702400000,2248768.5570000000,5072097480.3135004044,120686358.3558151573
ETHUSDT,2026-05-14 00:00:00,1778716800000,2250064.3750000000,5079680486.5497236252,120686358.3558151573
ETHUSDT,2026-05-14 04:00:00,1778731200000,2249571.5240000002,5041357272.4297199249,120686234.8902042955
ETHUSDT,2026-05-14 08:00:00,1778745600000,2224426.4399999999,5036613078.2412004471,120686234.8902042955
ETHUSDT,2026-05-14 12:00:00,1778760000000,2214540.9509999999,4988954269.1283454895,120686234.8902042955
ETHUSDT,2026-05-14 16:00:00,1778774400000,2182089.8810000001,5013990335.9699583054,120686234.8902042955
ETHUSDT,2026-05-14 20:00:00,1778788800000,2114951.1639999999,4858888804.1736001968,120686234.8902042955
ETHUSDT,2026-05-15 00:00:00,1778803200000,2090453.9260000000,4770520381.8283004761,120686234.8902042955
ETHUSDT,2026-05-15 04:00:00,1778817600000,2103426.2080000001,4779762612.2729597092,120686172.9763649255
ETHUSDT,2026-05-15 08:00:00,1778832000000,2142205.6050000000,4849842975.1537132263,120686172.9763649255
ETHUSDT,2026-05-15 12:00:00,1778846400000,2169400.5649999999,4894956579.6719675064,120686172.9763649255
ETHUSDT,2026-05-15 16:00:00,1778860800000,2290811.9810000001,5090355175.9627103806,120686172.9763649255
ETHUSDT,2026-05-15 20:00:00,1778875200000,2289145.7119999998,5087580562.0057601929,120686172.9763649255
ETHUSDT,2026-05-16 00:00:00,1778889600000,2276025.7829999998,5061107492.6257801056,120686172.9763649255
ETHUSDT,2026-05-16 04:00:00,1778904000000,2275265.6650000000,5067255989.8074798584,120686088.4883335531
ETHUSDT,2026-05-16 08:00:00,1778918400000,2267551.7519999999,4974208486.2563772202,120686088.4883335531
ETHUSDT,2026-05-16 12:00:00,1778932800000,2302801.7450000001,5009353719.9508495331,120686088.4883335531
ETHUSDT,2026-05-16 16:00:00,1778947200000,2313440.4909999999,5040910163.5584449768,120686088.4883335531
ETHUSDT,2026-05-16 20:00:00,1778961600000,2307756.6020000000,5027944257.7664651871,120686088.4883335531
ETHUSDT,2026-05-17 00:00:00,1778976000000,2299473.7599999998,5012085755.4282283783,120686088.4883335531
