symbol,funding_regime,shock_side,shock_level,threshold_pct,funding_q20_pct,funding_q80_pct,horizon_bars,horizon_hours,count,signal_return_mean_pct,funding_rate_mean_pct,funding_rate_24h_sum_mean_pct,holding_funding_sum_mean_pct,gross_mr_return_mean_pct,gross_mr_return_median_pct,gross_mr_win_rate_pct,gross_mr_return_t_stat,funding_adjusted_mr_return_mean_pct,funding_adjusted_mr_return_median_pct,funding_adjusted_mr_win_rate_pct,funding_adjusted_mr_return_t_stat
ETHUSDT,funding_neutral,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,18,72,162,-3.8817773037,0.0051653827,0.0128007407,0.0125090247,-0.5930868803,-0.6455335996,45.6790123457,-0.9638407333,-0.6055959050,-0.6789510996,45.0617283951,-0.9855831235
ETHUSDT,funding_high,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,1,4,328,-4.1965854184,0.0319239451,0.0976340701,0.0112506677,0.1343556823,0.3136881868,56.4024390244,0.8005078981,0.1231050147,0.3014562747,56.4024390244,0.7334742774
ETHUSDT,funding_high,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,2,8,328,-4.1965854184,0.0319239451,0.0976340701,0.0211944817,0.1871468520,0.1304123689,52.1341463415,0.8177077238,0.1659523703,0.1092843689,51.8292682927,0.7253364635
ETHUSDT,funding_high,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,3,12,328,-4.1965854184,0.0319239451,0.0976340701,0.0281176738,-0.1212622003,0.0643924982,50.3048780488,-0.4556684214,-0.1493798741,-0.0173800572,50.0000000000,-0.5619461045
ETHUSDT,funding_high,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,6,24,328,-4.1965854184,0.0319239451,0.0976340701,0.0584926128,0.4130850715,0.6630714935,57.3170731707,1.1938707629,0.3545924587,0.6318682301,57.0121951220,1.0268419722
ETHUSDT,funding_high,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,12,48,328,-4.1965854184,0.0319239451,0.0976340701,0.1293109695,0.5884563952,0.6842073845,54.2682926829,1.3386494496,0.4591454257,0.6501640080,53.6585365854,1.0512177540
ETHUSDT,funding_high,lower,5pct,-2.5346979200,0.0014482000,0.0100000000,18,72,328,-4.1965854184,0.0319239451,0.0976340701,0.1965318079,0.2982190558,0.6431910656,54.8780487805,0.5513456116,0.1016872479,0.4935178915,53.6585365854,0.1891758499
SOLUSDT,funding_low_or_negative,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,1,4,159,-6.0857126148,-0.0905498805,-0.2017185157,-0.0882157233,0.5117443915,0.5649732542,57.8616352201,1.2937604627,0.5999601148,0.7288919479,59.7484276730,1.4883233420
SOLUSDT,funding_low_or_negative,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,2,8,159,-6.0857126148,-0.0905498805,-0.2017185157,-0.1829505472,1.2699574559,0.6116227017,58.4905660377,2.4907839395,1.4529080031,0.7738749074,60.3773584906,2.8015800802
SOLUSDT,funding_low_or_negative,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,3,12,159,-6.0857126148,-0.0905498805,-0.2017185157,-0.2641774403,0.6676467618,0.7736668558,57.2327044025,0.9529500996,0.9318242021,0.8016078506,59.1194968553,1.3127038919
SOLUSDT,funding_low_or_negative,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,6,24,159,-6.0857126148,-0.0905498805,-0.2017185157,-0.5859336478,1.5393129485,2.1622464013,61.0062893082,1.7430859940,2.1252465963,2.2821210444,61.6352201258,2.3626334964
SOLUSDT,funding_low_or_negative,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,12,48,159,-6.0857126148,-0.0905498805,-0.2017185157,-1.1685737170,2.2246971414,2.3979015500,64.1509433962,2.2026422696,3.3932708584,2.8645956626,66.6666666667,3.4267967499
SOLUSDT,funding_low_or_negative,lower,5pct,-3.7212992607,-0.0039406000,0.0100000000,18,72,159,-6.0857126148,-0.0905498805,-0.2017185157,-1.5222265849,2.9243035420,3.3709287119,64.7798742138,2.4980865420,4.4465301269,4.0544628819,67.2955974843,4.0404086411
