symbol,shock_side,shock_level,shock_quantile,threshold_pct,horizon_bars,horizon_hours,count,current_return_mean_pct,future_return_mean_pct,future_return_median_pct,future_return_std_pct,future_return_t_stat,mr_return_mean_pct,mr_return_median_pct,mr_return_std_pct,mr_return_t_stat,mr_win_rate_pct
BTCUSDT,lower,1pct,0.0100000000,-3.8646644461,12,48,128,-5.2372171189,1.7761544120,2.3889723807,6.4964393672,3.0932164730,1.7761544120,2.3889723807,6.4964393672,3.0932164730,66.4062500000
BTCUSDT,lower,1pct,0.0100000000,-3.8646644461,18,72,128,-5.2372171189,1.6074087355,1.9629076345,7.6153480352,2.3880397571,1.6074087355,1.9629076345,7.6153480352,2.3880397571,65.6250000000
ETHUSDT,upper,5pct,0.0500000000,2.5346196347,1,4,636,3.8966985249,-0.0176907843,-0.1205460752,2.1979090911,-0.2029859221,0.0176907843,0.1205460752,2.1979090911,0.2029859221,52.9874213836
ETHUSDT,upper,5pct,0.0500000000,2.5346196347,2,8,636,3.8966985249,0.0656541750,0.0936356491,2.8975450014,0.5714269468,-0.0656541750,-0.0936356491,2.8975450014,-0.5714269468,48.1132075472
ETHUSDT,upper,5pct,0.0500000000,2.5346196347,3,12,636,3.8966985249,0.2199009430,0.2108127203,3.5720997404,1.5525016583,-0.2199009430,-0.2108127203,3.5720997404,-1.5525016583,46.3836477987
ETHUSDT,upper,5pct,0.0500000000,2.5346196347,6,24,636,3.8966985249,0.1017958665,0.3223598027,5.5486334970,0.4626714081,-0.1017958665,-0.3223598027,5.5486334970,-0.4626714081,47.7987421384
ETHUSDT,upper,5pct,0.0500000000,2.5346196347,12,48,636,3.8966985249,0.5202981146,0.6269769832,7.4121551795,1.7702569450,-0.5202981146,-0.6269769832,7.4121551795,-1.7702569450,45.2830188679
ETHUSDT,upper,5pct,0.0500000000,2.5346196347,18,72,636,3.8966985249,0.5384375265,0.6703547994,9.0519996886,1.5000970190,-0.5384375265,-0.6703547994,9.0519996886,-1.5000970190,45.9119496855
ETHUSDT,lower,5pct,0.0500000000,-2.5346979200,1,4,636,-4.0900606746,0.0346006177,0.2519651645,2.7290849185,0.3197388146,0.0346006177,0.2519651645,2.7290849185,0.3197388146,56.1320754717
ETHUSDT,lower,5pct,0.0500000000,-2.5346979200,2,8,636,-4.0900606746,-0.0348586498,0.1273259656,3.7456057469,-0.2347021440,-0.0348586498,0.1273259656,3.7456057469,-0.2347021440,52.5157232704
ETHUSDT,lower,5pct,0.0500000000,-2.5346979200,3,12,636,-4.0900606746,-0.1678418013,0.1212797930,4.4804999182,-0.9447180559,-0.1678418013,0.1212797930,4.4804999182,-0.9447180559,52.0440251572
ETHUSDT,lower,5pct,0.0500000000,-2.5346979200,6,24,636,-4.0900606746,0.3453408074,0.5708326743,5.7819407614,1.5062699778,0.3453408074,0.5708326743,5.7819407614,1.5062699778,55.6603773585
ETHUSDT,lower,5pct,0.0500000000,-2.5346979200,12,48,636,-4.0900606746,0.2311350005,0.4433860081,7.5582471630,0.7712109428,0.2311350005,0.4433860081,7.5582471630,0.7712109428,53.4591194969
ETHUSDT,lower,5pct,0.0500000000,-2.5346979200,18,72,636,-4.0900606746,0.0722184939,0.5582924494,9.2356784594,0.1972005765,0.0722184939,0.5582924494,9.2356784594,0.1972005765,53.1446540881
ETHUSDT,upper,2_5pct,0.0250000000,3.4259657599,1,4,318,4.8817030506,0.0127120558,-0.0153544024,2.4073188023,0.0941663509,-0.0127120558,0.0153544024,2.4073188023,-0.0941663509,50.6289308176
ETHUSDT,upper,2_5pct,0.0250000000,3.4259657599,2,8,318,4.8817030506,0.2515146466,0.2598024745,3.2736008912,1.3700963532,-0.2515146466,-0.2598024745,3.2736008912,-1.3700963532,44.9685534591
ETHUSDT,upper,2_5pct,0.0250000000,3.4259657599,3,12,318,4.8817030506,0.4780883382,0.5135387293,4.0696474201,2.0949078547,-0.4780883382,-0.5135387293,4.0696474201,-2.0949078547,41.1949685535
ETHUSDT,upper,2_5pct,0.0250000000,3.4259657599,6,24,318,4.8817030506,0.4929174308,0.7813073229,6.2311939806,1.4106408782,-0.4929174308,-0.7813073229,6.2311939806,-1.4106408782,44.0251572327
ETHUSDT,upper,2_5pct,0.0250000000,3.4259657599,12,48,318,4.8817030506,1.3738077416,1.4068073855,7.6459215820,3.2041266918,-1.3738077416,-1.4068073855,7.6459215820,-3.2041266918,41.5094339623
ETHUSDT,upper,2_5pct,0.0250000000,3.4259657599,18,72,318,4.8817030506,1.1616773499,0.9023167744,10.1461618367,2.0417252344,-1.1616773499,-0.9023167744,10.1461618367,-2.0417252344,43.3962264151
ETHUSDT,lower,2_5pct,0.0250000000,-3.5360705099,1,4,318,-5.2191964213,0.1909988605,0.2950652230,3.0969350366,1.0997962659,0.1909988605,0.2950652230,3.0969350366,1.0997962659,58.1761006289
ETHUSDT,lower,2_5pct,0.0250000000,-3.5360705099,2,8,318,-5.2191964213,0.1165914354,0.1400097374,4.1653478744,0.4991475354,0.1165914354,0.1400097374,4.1653478744,0.4991475354,52.2012578616
ETHUSDT,lower,2_5pct,0.0250000000,-3.5360705099,3,12,318,-5.2191964213,0.0879632000,0.1225520922,4.8421464619,0.3239490112,0.0879632000,0.1225520922,4.8421464619,0.3239490112,51.8867924528
ETHUSDT,lower,2_5pct,0.0250000000,-3.5360705099,6,24,318,-5.2191964213,0.8342828521,0.9502513045,6.3993367850,2.3248337959,0.8342828521,0.9502513045,6.3993367850,2.3248337959,56.9182389937
ETHUSDT,lower,2_5pct,0.0250000000,-3.5360705099,12,48,318,-5.2191964213,0.5911491379,0.6830168628,8.2653119878,1.2754145560,0.5911491379,0.6830168628,8.2653119878,1.2754145560,55.0314465409
ETHUSDT,lower,2_5pct,0.0250000000,-3.5360705099,18,72,318,-5.2191964213,0.4284684196,0.9300463777,10.1472092110,0.7529840260,0.4284684196,0.9300463777,10.1472092110,0.7529840260,55.6603773585
ETHUSDT,upper,1pct,0.0100000000,4.6751322219,1,4,128,6.1994319090,0.1822817377,0.2235218665,2.4874020221,0.8290909257,-0.1822817377,-0.2235218665,2.4874020221,-0.8290909257,46.8750000000
ETHUSDT,upper,1pct,0.0100000000,4.6751322219,2,8,128,6.1994319090,0.3992067498,0.1912679106,3.4303185063,1.3166441513,-0.3992067498,-0.1912679106,3.4303185063,-1.3166441513,46.0937500000
ETHUSDT,upper,1pct,0.0100000000,4.6751322219,3,12,128,6.1994319090,0.5667447138,0.7199882853,4.2615737914,1.5046048241,-0.5667447138,-0.7199882853,4.2615737914,-1.5046048241,42.1875000000
ETHUSDT,upper,1pct,0.0100000000,4.6751322219,6,24,128,6.1994319090,0.5638525409,0.5490904840,6.6797475131,0.9550156307,-0.5638525409,-0.5490904840,6.6797475131,-0.9550156307,43.7500000000
ETHUSDT,upper,1pct,0.0100000000,4.6751322219,12,48,128,6.1994319090,1.8660138353,1.1483699763,8.3684595439,2.5227506301,-1.8660138353,-1.1483699763,8.3684595439,-2.5227506301,43.7500000000
ETHUSDT,upper,1pct,0.0100000000,4.6751322219,18,72,128,6.1994319090,1.5298694491,0.5168975293,10.9298939883,1.5835923941,-1.5298694491,-0.5168975293,10.9298939883,-1.5835923941,43.7500000000
ETHUSDT,lower,1pct,0.0100000000,-5.0589073200,1,4,128,-6.7981643680,0.8042326536,1.0032968740,3.6002043631,2.5273159219,0.8042326536,1.0032968740,3.6002043631,2.5273159219,67.1875000000
ETHUSDT,lower,1pct,0.0100000000,-5.0589073200,2,8,128,-6.7981643680,0.4870931765,0.4046913996,4.9576924507,1.1115716163,0.4870931765,0.4046913996,4.9576924507,1.1115716163,54.6875000000
ETHUSDT,lower,1pct,0.0100000000,-5.0589073200,3,12,128,-6.7981643680,0.6598451024,0.6307132665,5.7802886667,1.2915090531,0.6598451024,0.6307132665,5.7802886667,1.2915090531,57.8125000000
ETHUSDT,lower,1pct,0.0100000000,-5.0589073200,6,24,128,-6.7981643680,1.7484963909,1.3868734741,7.4372485311,2.6598517443,1.7484963909,1.3868734741,7.4372485311,2.6598517443,59.3750000000
ETHUSDT,lower,1pct,0.0100000000,-5.0589073200,12,48,128,-6.7981643680,1.3546285942,1.0726267637,9.1920413505,1.6672980957,1.3546285942,1.0726267637,9.1920413505,1.6672980957,57.0312500000
ETHUSDT,lower,1pct,0.0100000000,-5.0589073200,18,72,128,-6.7981643680,0.5298029952,0.7893782132,11.3554462343,0.5278556674,0.5298029952,0.7893782132,11.3554462343,0.5278556674,53.1250000000
SOLUSDT,upper,5pct,0.0500000000,3.8325049439,1,4,636,6.2535717467,0.0364097904,-0.0439339982,4.1640410161,0.2205117508,-0.0364097904,0.0439339982,4.1640410161,-0.2205117508,50.7861635220
SOLUSDT,upper,5pct,0.0500000000,3.8325049439,2,8,636,6.2535717467,0.2632932304,0.0597425910,5.7874461615,1.1473113419,-0.2632932304,-0.0597425910,5.7874461615,-1.1473113419,48.5849056604
SOLUSDT,upper,5pct,0.0500000000,3.8325049439,3,12,636,6.2535717467,0.4127001004,0.1183287068,6.6646484681,1.5616578376,-0.4127001004,-0.1183287068,6.6646484681,-1.5616578376,48.1132075472
SOLUSDT,upper,5pct,0.0500000000,3.8325049439,6,24,636,6.2535717467,0.4778130958,0.1312029599,9.0438206058,1.3324001330,-0.4778130958,-0.1312029599,9.0438206058,-1.3324001330,49.3710691824
SOLUSDT,upper,5pct,0.0500000000,3.8325049439,12,48,636,6.2535717467,1.4396428522,0.9511709013,11.1956748220,3.2428961956,-1.4396428522,-0.9511709013,11.1956748220,-3.2428961956,45.5974842767
