group,horizon,method,leverage,one_way_cost_bps,n_trades,n_sims,final_return_median_pct,final_return_q05_pct,final_return_q01_pct,final_return_cvar05_pct,mdd_median_pct,mdd_q05_pct,mdd_q01_pct,conditional_expected_drawdown_5_pct,prob_dd_30_pct,prob_dd_50_pct,prob_halving_pct,prob_ruin_pct,max_losing_streak_median,max_losing_streak_q95
G3_funding_low_x_risk_on,48h,iid_bootstrap,1.0,5.0,15,5000,17.022270233595826,-6.354092204359915,-15.641139617087434,-11.91070473510744,-7.3795083312370835,-17.17873286120507,-22.259383542420668,-20.333400344408393,0.06,0.0,0.0,0.0,2.0,3.0
G3_funding_low_x_risk_on,48h,iid_bootstrap,1.0,10.0,15,5000,15.616372051808813,-8.313044022662886,-16.538422807298733,-13.549807927461714,-7.905186309775003,-18.090148092303558,-22.989985607204655,-21.176325273337753,0.13999999999999999,0.0,0.0,0.0,2.0,3.0
G3_funding_low_x_risk_on,48h,iid_bootstrap,1.0,20.0,15,5000,11.957956639654988,-11.433684453158445,-20.004824097644228,-16.777769294441942,-8.732165350682813,-19.534706879912488,-24.92273384953788,-22.961185414945472,0.26,0.0,0.0,0.0,2.0,3.0
G4_avoid_high_funding_risk_off,24h,iid_bootstrap,1.0,0.0,175,5000,111.05841553710135,-13.22499043442557,-43.09873999041166,-30.761844591723904,-31.317772052733716,-52.63951897634536,-62.7167638707626,-58.32334140763537,55.00000000000001,6.84,0.42,0.0,6.0,9.0
G4_avoid_high_funding_risk_off,24h,iid_bootstrap,1.0,5.0,175,5000,77.58836258993028,-28.875376266690626,-50.39573918250323,-42.00609292406857,-33.687954615100026,-56.25611599555784,-65.73974754820262,-62.16204840007798,63.38,10.94,1.04,0.0,6.0,9.0
G4_avoid_high_funding_risk_off,24h,iid_bootstrap,1.0,10.0,175,5000,45.13579497231751,-41.65534797571865,-60.18218619620163,-52.39653073434167,-36.47597835941329,-60.88291187779078,-70.06546545974541,-66.70166582310759,71.32,17.7,2.58,0.0,6.0,9.0
G4_avoid_high_funding_risk_off,24h,iid_bootstrap,1.0,20.0,175,5000,6.242512549136858,-57.77822275506451,-70.8918361632188,-66.25374515219742,-42.67310488831316,-68.1163575136506,-77.30428644889714,-73.58184889124875,83.82,32.04,8.780000000000001,0.0,6.0,10.0
G4_avoid_high_funding_risk_off,48h,iid_bootstrap,1.0,0.0,175,5000,242.97922164015353,5.153547753703581,-38.51476876022763,-21.59645448034285,-36.412451131198985,-58.883664264972026,-68.77137128754077,-65.03202776938379,74.3,15.160000000000002,0.42,0.0,5.0,7.0
G4_avoid_high_funding_risk_off,48h,iid_bootstrap,1.0,5.0,175,5000,186.82143089123656,-10.047150412716721,-44.87919957658785,-32.026863128867824,-37.96848943699183,-61.46670936722042,-72.01213073165596,-67.74177078475982,77.86,19.6,0.72,0.0,5.0,8.0
G4_avoid_high_funding_risk_off,48h,iid_bootstrap,1.0,10.0,175,5000,145.9673451834904,-24.968604561525545,-54.097013005661516,-43.25824484060965,-39.86235902388249,-64.03893941327019,-75.5928760245009,-70.42123472949027,81.62,23.06,1.28,0.0,5.0,8.0
G4_avoid_high_funding_risk_off,48h,iid_bootstrap,1.0,20.0,175,5000,73.74280657901807,-47.296482080384166,-67.82481406038644,-59.74070263024538,-44.2856928688525,-69.3857678353306,-78.51998085027567,-74.96408780825848,87.86,33.82,4.34,0.0,5.0,8.0
G5_high_funding_x_risk_off,24h,iid_bootstrap,1.0,0.0,26,5000,-6.035717133361645,-29.12552014790984,-36.51741050449382,-33.649357998944964,-17.146554089681125,-32.57144979446132,-38.65687558454535,-36.39783188216433,8.24,0.02,0.0,0.0,5.0,9.0
G5_high_funding_x_risk_off,24h,iid_bootstrap,1.0,5.0,26,5000,-8.406465572371125,-31.568018674246765,-38.85726322702601,-36.13083020105553,-18.25019101944126,-34.43411620012847,-40.92241084711661,-38.48699852983575,11.24,0.06,0.02,0.0,5.0,9.0
G5_high_funding_x_risk_off,24h,iid_bootstrap,1.0,10.0,26,5000,-10.5873120620059,-32.3651820059212,-40.458776971485456,-36.93352673118403,-19.322686414161033,-35.32038581326551,-42.06286822439838,-39.38019503811628,13.420000000000002,0.08,0.08,0.0,5.0,9.0
G5_high_funding_x_risk_off,24h,iid_bootstrap,1.0,20.0,26,5000,-15.230964265787062,-36.14594911202329,-42.949301807684805,-40.27560212124606,-21.880203524944243,-38.442680481053074,-44.394142213844994,-42.08160392722908,20.44,0.1,0.02,0.0,6.0,11.0
