event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
rolling_2sigma,48h,broad_3of4_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,14,0.937428506001225,2.4884418425939097,71.42857142857143,1.7445178445934897,0.918139408481644,-5.577557992608314,-5.778124343285108,-5.73801107314975,-5.778124343285108,-3.6313202997009393,-9.425650229529623,5.343212178271474,14.586244152905872,-6.1805780215122175,True,True,False,False,False,fragile
rolling_2sigma,48h,broad_3of4_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,30,0.5339494054649122,0.6547723720917549,60.0,1.43504818120032,0.8003435601302172,-4.48031449947231,-7.186544190965788,-8.016279936766123,-9.162105490490392,-4.800943472682347,-13.62172455334398,3.578118523250757,8.102806499104759,-11.889449655201457,False,False,False,False,False,survives_this_test
rolling_2sigma,5d,broad_3of4_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-12.811151341073726,-21.014228649769713,-24.58737739449574,-27.830245669134868,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308,False,False,False,False,True,watch
rolling_2sigma,5d,broad_3of4_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,14,1.5079498059631773,3.8520130666793313,64.28571428571429,1.7824239589737025,0.8274557955514871,-12.878078550049327,-13.002371938146872,-12.977513260527363,-13.002371938146872,-5.349031500109053,-14.641592066042206,7.624023012586559,14.586244152905872,-12.192539671292035,True,True,False,False,False,fragile
rolling_2sigma,5d,broad_3of4_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,30,1.5997144359781734,1.4611064948574928,66.66666666666666,1.72126326981618,1.1025475454949276,-8.66026813330693,-16.08338208779235,-19.061990833025384,-23.17530767168052,-6.454066355647586,-28.05836351820929,6.914112165855693,19.349579885581488,-20.68580556577613,False,False,False,False,True,watch
rolling_2sigma,24h,nasdaq_5d_gt_1pct,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
rolling_2sigma,24h,nasdaq_5d_gt_1pct,lower_20_or_negative,funding_low_x_risk_on,0.0,12,0.9904614597289483,0.5706725049392356,66.66666666666666,2.3333448638954857,0.9452126881221247,-3.2561921968225946,-3.5321422852932787,-3.4769522675991418,-3.5321422852932787,-2.3522344098118877,-5.9460107683525445,3.230391533272118,14.586244152905872,-4.405318272476522,True,True,False,False,False,fragile
rolling_2sigma,24h,nasdaq_5d_gt_1pct,lower_20_or_negative,funding_high_x_risk_off,0.0,36,0.2579830062856736,0.26833654030886767,52.77777777777778,1.2165999496925706,0.47711909961658294,-4.475070941168885,-6.927515444291327,-7.103262000893149,-7.513337299630736,-3.6910864869458027,-12.257577792119946,2.754969553449439,6.898808550413792,-13.51446285236536,False,False,False,False,False,survives_this_test
rolling_2sigma,48h,nasdaq_5d_gt_1pct,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6032707567317701,0.851294676860646,61.19402985074627,1.3675304301406208,1.6473624609131836,-7.2958465544313995,-11.86029035518225,-14.570900361639113,-17.628031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-42.4412787279136,False,False,False,False,True,watch
rolling_2sigma,48h,nasdaq_5d_gt_1pct,lower_20_or_negative,funding_low_x_risk_on,0.0,12,0.7794871705905675,2.078206254021758,66.66666666666666,1.5998154354152732,0.7109674729746923,-5.5709014224792766,-5.778124343285108,-5.736679759123941,-5.778124343285108,-2.9303857190554576,-9.152279233799392,4.491096106799066,14.586244152905872,-6.180578021512229,True,True,False,False,False,fragile
rolling_2sigma,48h,nasdaq_5d_gt_1pct,lower_20_or_negative,funding_high_x_risk_off,0.0,36,0.06640617027458705,0.41119332714868695,55.55555555555556,1.0388464437101845,0.08606405342068346,-6.198763541203486,-11.866502926064754,-12.677822156737061,-14.570900361639113,-5.1447308527748286,-24.800118946067222,3.6088689467266235,12.317013986972155,-17.67423669671817,False,False,False,False,False,survives_this_test
rolling_2sigma,5d,nasdaq_5d_gt_1pct,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-12.811151341073726,-21.014228649769713,-24.58737739449574,-27.830245669134868,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308,False,False,False,False,True,watch
rolling_2sigma,5d,nasdaq_5d_gt_1pct,lower_20_or_negative,funding_low_x_risk_on,0.0,12,2.6121238549245316,4.578377222179341,66.66666666666666,2.8384410048314628,1.4639448852297614,-7.548030318670734,-13.002371938146872,-11.911503614251645,-13.002371938146872,-4.436587580137803,-14.641592066042206,7.066266695316238,14.586244152905872,-13.03343863775689,True,True,False,False,False,fragile
rolling_2sigma,5d,nasdaq_5d_gt_1pct,lower_20_or_negative,funding_high_x_risk_off,0.0,36,1.1315173063328356,1.314884327365929,61.111111111111114,1.4989177084260037,0.9123950007611165,-8.439475886242096,-16.08338208779235,-18.210959762958804,-23.17530767168052,-6.750156501026836,-28.05836351820929,6.497392842768816,19.349579885581488,-20.685805565776118,False,False,False,False,True,watch
rolling_2sigma,24h,sp500_5d_gt_1pct,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.3408696084495801,0.28981994350858675,53.233830845771145,1.2599635032580474,1.1900395102548516,-6.341693588951916,-9.718548917259978,-11.569208069051482,-13.272137383015096,-3.7265774962948734,-36.61731954434463,3.0510185665911282,16.15690254573776,-30.823393023738564,False,False,False,False,True,watch
