cost_case,event_def,horizon,risk_env,funding_case,group,cost_bps,n,mean_ret_pct,median_ret_pct,win_rate_pct,profit_factor,t_stat,var_95_pct,es_95_pct,var_99_pct,es_99_pct,mean_mae_pct,worst_mae_pct,mean_mfe_pct,best_mfe_pct,maxdd_pct,is_small_sample,is_very_small_sample,is_mean_broken,is_pf_broken,is_drawdown_severe,fragility_status
cost_x5,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,50.0,201,0.10327075673176986,0.351294676860646,55.223880597014926,1.055743380254125,0.2820033393822483,-7.7958465544314,-12.36029035518225,-15.070900361639113,-18.128031328352268,-4.715645132126101,-36.61731954434463,4.154930341539808,16.54069379542192,-53.399674917315565,False,False,False,False,True,watch
cost_x5,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,50.0,15,0.6150338183645591,1.9163826851824357,73.33333333333333,1.5243392018005997,0.6844700636938013,-6.014386080441322,-6.278124343285107,-6.225376690716351,-6.278124343285107,-3.249251657414053,-9.425650229529623,4.928247841935166,14.586244152905872,-7.114096867755126,True,True,False,False,False,fragile
cost_x5,rolling_2sigma,48h,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,50.0,26,-0.6001942256939541,-0.24584485265062825,46.15384615384615,0.6653620501665461,-0.8250342867160699,-5.623665361089099,-7.686544190965789,-8.674324840728092,-9.662105490490394,-5.346878973084372,-13.62172455334398,3.202774091806835,6.997349780838566,-26.137596290496703,True,False,True,True,True,broken
gross,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,0.0,201,0.6471304344411787,1.2411557969275255,56.71641791044776,1.230986651220737,1.0841816795730062,-12.811151341073726,-21.014228649769713,-24.58737739449574,-27.830245669134868,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-70.07390815413308,False,False,False,False,True,watch
gross,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,0.0,15,2.194072200556089,3.5868121286749948,66.66666666666666,2.9072087417385815,1.5295044349928597,-6.060482604268151,-13.002371938146872,-11.613994071371128,-13.002371938146872,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.192539671292035,True,True,False,False,False,fragile
gross,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,0.0,26,0.0885260739904468,1.314884327365929,61.53846153846154,1.0327494103485013,0.060971483616567825,-8.807462964683488,-16.08338208779235,-19.629344879736436,-23.17530767168052,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-25.11244427741911,True,False,False,False,True,watch
base_cost,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,10.0,201,0.5471304344411785,1.1411557969275257,55.223880597014926,1.1922687949655912,0.9166448706282623,-12.911151341073726,-21.114228649769718,-24.68737739449574,-27.93024566913487,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-71.0163830713713,False,False,False,False,True,watch
base_cost,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,10.0,15,2.0940722005560892,3.4868121286749947,66.66666666666666,2.769025398939952,1.459793673669454,-6.160482604268151,-13.102371938146874,-11.713994071371129,-13.102371938146874,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.280303242521507,True,True,False,False,False,fragile
base_cost,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_high_x_risk_off,10.0,26,-0.011473926009553234,1.214884327365929,61.53846153846154,0.9958148741884736,-0.007902556390162305,-8.907462964683488,-16.183382087792353,-19.729344879736438,-23.27530767168052,-7.458248835765692,-28.05836351820929,5.9720684443528675,15.14805576551559,-25.78340841131801,True,False,True,True,True,broken
cost_x2,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,all_funding_covered_crashes,20.0,201,0.4471304344411785,1.0411557969275256,54.72636815920397,1.1546904305423051,0.7491080616835188,-13.011151341073726,-21.214228649769716,-24.787377394495742,-28.030245669134867,-7.077750310955974,-50.636206449343334,6.674754919204131,31.444205828993194,-71.92917623216104,False,False,False,False,True,watch
cost_x2,rolling_2sigma,5d,nasdaq_5d_up,lower_20_or_negative,funding_low_x_risk_on,20.0,15,1.994072200556089,3.3868121286749946,66.66666666666666,2.6384111948354274,1.3900829123460476,-6.260482604268152,-13.202371938146873,-11.813994071371129,-13.202371938146873,-4.454213146279931,-14.641592066042206,7.232144141629572,14.586244152905872,-12.367979094046898,True,True,False,False,False,fragile
